"subject","block_number","sound","list","block_time","block_time_s","block_time_m","block_start"
14,2,"Lyrical","A",259274.430000005,259.274430000005,4.32124050000009,55535
14,3,"Instrumental","A",289898.304000036,289.898304000036,4.8316384000006,55894
15,1,"Silence","A",227400,227.4,3.79,78124
15,2,"Lyrical","A",189112,189.112,3.15186666666667,78359
15,3,"Instrumental","A",171366,171.366,2.8561,78562
16,1,"Silence","A",186212.147000102,186.212147000102,3.10353578333503,45720
16,2,"Lyrical","A",188740.661000011,188.740661000011,3.14567768333352,45916
16,3,"Instrumental","A",166732.388000024,166.732388000024,2.77887313333374,46157
17,1,"Silence","A",218098.766000057,218.098766000057,3.63497943333429,52242
17,2,"Lyrical","A",218538.231000027,218.538231000027,3.64230385000046,52468
17,3,"Instrumental","A",181996.196999948,181.996196999948,3.03326994999914,52695
18,1,"Silence","A",256430.940000055,256.430940000055,4.27384900000091,59873
18,2,"Lyrical","A",233640.425000012,233.640425000012,3.89400708333354,60141
18,3,"Instrumental","A",260608.784000049,260.608784000049,4.34347973333415,60443
19,1,"Silence","A",304922.405000016,304.922405000016,5.08204008333361,70457
19,2,"Lyrical","A",278499.095999987,278.499095999987,4.64165159999979,70772
19,3,"Instrumental","A",260273.301999968,260.273301999968,4.33788836666613,71149
20,1,"Lyrical","B",239382.613999971,239.382613999971,3.98971023333285,64937
20,2,"Instrumental","B",213795.128999953,213.795128999953,3.56325214999922,65183
20,3,"Silence","B",160547.560000017,160.547560000017,2.67579266666695,65408
21,1,"Lyrical","B",197576.783,197.576783,3.29294638333333,27089
21,2,"Instrumental","B",157115.584,157.115584,2.61859306666667,27304
21,3,"Silence","B",152462.916,152.462916,2.5410486,27472
22,1,"Lyrical","B",225324.460000141,225.324460000141,3.75540766666901,47737
22,2,"Instrumental","B",190144.483999989,190.144483999989,3.16907473333315,47996
22,3,"Silence","B",190420.739000112,190.420739000112,3.1736789833352,48238
23,1,"Lyrical","B",303433,303.433,5.05721666666667,61656
23,2,"Instrumental","B",320789,320.789,5.34648333333333,61971
23,3,"Silence","B",236856,236.856,3.9476,62400
24,1,"Lyrical","B",210308,210.308,3.50513333333333,70129
24,2,"Instrumental","B",197394,197.394,3.2899,70352
24,3,"Silence","B",191461,191.461,3.19101666666667,70563
25,1,"Lyrical","B",165094.991999997,165.094991999997,2.75158319999994,75591
25,2,"Instrumental","B",168789.164000004,168.789164000004,2.8131527333334,75765
25,3,"Silence","B",165701.082999991,165.701082999991,2.76168471666652,76030
26,1,"Lyrical","B",230060.036999949,230.060036999949,3.83433394999916,44650
26,2,"Instrumental","B",210079.037999977,210.079037999977,3.50131729999962,44889
26,3,"Silence","B",173671.460999986,173.671460999986,2.89452434999977,45110
27,1,"Lyrical","B",213795,213.795,3.56325,48790
27,2,"Instrumental","B",187581,187.581,3.12635,49013
27,3,"Silence","B",200775,200.775,3.34625,49213
28,1,"Lyrical","B",245784.895000007,245.784895000007,4.09641491666678,50088
28,2,"Instrumental","B",201486.184999995,201.486184999995,3.35810308333326,50344
28,3,"Silence","B",194454.396000016,194.454396000016,3.24090660000027,50578
29,1,"Lyrical","B",223544,223.544,3.72573333333333,70520
29,2,"Instrumental","B",216957,216.957,3.61595,70753
29,3,"Silence","B",190528,190.528,3.17546666666667,70982
30,1,"Lyrical","B",228455.881000001,228.455881000001,3.80759801666669,61788
30,2,"Instrumental","B",212071.90599952,212.07190599952,3.53453176665866,62029
30,3,"Silence","B",209805.272999421,209.805272999421,3.49675454999035,62257
31,1,"Lyrical","B",255931,255.931,4.26551666666667,71046
31,2,"Instrumental","B",225308,225.308,3.75513333333333,71313
31,3,"Silence","B",202727,202.727,3.37878333333333,71586
32,1,"Lyrical","B",222014,222.014,3.70023333333333,60284
32,2,"Instrumental","B",189896,189.896,3.16493333333333,60517
32,3,"Silence","B",170868,170.868,2.8478,60745
33,1,"Lyrical","B",188770.354000002,188.770354000002,3.14617256666669,35243
33,2,"Instrumental","B",200380.179000001,200.380179000001,3.33966965000002,35443
33,3,"Silence","B",172914.065000002,172.914065000002,2.88190108333337,35686
34,1,"Lyrical","B",210128.585000004,210.128585000004,3.5021430833334,66275
34,2,"Instrumental","B",198692.081000009,198.692081000009,3.31153468333348,66495
34,3,"Silence","B",184880.904000007,184.880904000007,3.08134840000011,66781
35,1,"Instrumental","C",221164.600999915,221.164600999915,3.68607668333191,66928
35,2,"Silence","C",190575.124999932,190.575124999932,3.17625208333221,67161
35,3,"Lyrical","C",193760.414000052,193.760414000052,3.22934023333421,67367
36,1,"Instrumental","C",172787.348,172.787348,2.87978913333333,77037
36,2,"Silence","C",156767.394,156.767394,2.6127899,77216
36,3,"Lyrical","C",144064.113,144.064113,2.40106855,77384
37,1,"Instrumental","C",234074.521999989,234.074521999989,3.90124203333315,28369
37,2,"Silence","C",209509.946999953,209.509946999953,3.49183244999922,28610
37,3,"Lyrical","C",227874.467000023,227.874467000023,3.79790778333372,28831
38,1,"Instrumental","C",200223.720000047,200.223720000047,3.33706200000078,52364
38,2,"Silence","C",189363.299999965,189.363299999965,3.15605499999942,52598
