sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,ended_on,familiarity,gender,headphone_check_performance,item,list,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
screen,html.Screen,1_1_0_1_4,2021-03-25T02:30:39.377Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,465.0099999997037,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- having - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,73144.59999999963,73143.8049999997,72662.159,72672.84999997355,72678.795,73162.448,,4,having
screen,html.Screen,1_1_0_1_5,2021-03-25T02:30:39.793Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,397.2019999519398,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ a ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,73560.34999998519,73559.64999995194,73129.144,73144.82499996666,73162.448,73562.702,,5,a
screen,html.Screen,1_1_0_1_6,2021-03-25T02:30:40.273Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,477.0129999625933,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - lasting --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,74040.50499998266,74039.7149999626,73546.075,73560.56999997236,73562.702,74046.292,,6,lasting
screen,html.Screen,1_1_0_1_7,2021-03-25T02:30:40.737Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,457.3529999897728,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- and ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,74504.48999996297,74503.64499998977,74029.697,74040.72499996983,74046.292,74513.236,,7,and
screen,html.Screen,1_1_0_1_8,2021-03-25T02:30:41.137Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,390.27899995449116,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- fulfilling<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,74904.25999998115,74903.5149999545,74496.701,74504.72999998601,74513.236,74913.475,,8,fulfilling
screen,html.Screen,1_1_0_1_9,2021-03-25T02:30:41.577Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,429.99499996341183,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,"---- -- ----- -- ------ - ------- --- ----------<br>relationship, ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----",75344.22999998787,75343.46999996342,74896.957,74904.47999996832,74913.475,75347.207,,9,"relationship,"
screen,html.Screen,1_1_0_1_10,2021-03-25T02:30:42.008Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,428.1730000064126,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- common ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,75776.11999999499,75775.38000000641,75330.581,75344.4549999549,75347.207,75780.825,,10,common
screen,html.Screen,1_1_0_1_11,2021-03-25T02:30:42.328Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,314.4799999661773,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ wisdom ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,76096.04499995476,76095.30499996617,75764.196,75776.34499996202,75780.825,76117.987,,11,wisdom
screen,html.Screen,1_1_0_1_12,2021-03-25T02:30:42.672Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,321.3029999511491,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ says ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,76440.0349999778,76439.28999995114,76081.059,76096.27499995986,76117.987,76447.838,,12,says
screen,html.Screen,1_1_0_1_13,2021-03-25T02:30:43.040Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,359.3669999609556,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- that ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,76807.94500000775,76807.20499996096,76431.286,76440.26999996277,76447.838,76814.785,,13,that
