sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,ended_on,familiarity,gender,headphone_check_performance,item,list,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
screen,html.Screen,1_1_0_1_4,2021-03-29T11:37:53.667Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,429.0000000000291,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- having - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,214114,214105.00000000003,213676,213665,213692,214142,,4,having
screen,html.Screen,1_1_0_1_5,2021-03-29T11:37:54.204Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,516,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ a ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,214651,214642,214126,214114,214142,214692,,5,a
screen,html.Screen,1_1_0_1_6,2021-03-29T11:37:54.632Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,394,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - lasting --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,215079,215070,214676,214652.00000000003,214692,215109,,6,lasting
screen,html.Screen,1_1_0_1_7,2021-03-29T11:37:55.208Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,554.0000000000291,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- and ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,215655,215646.00000000003,215092,215079,215109,215692,,7,and
screen,html.Screen,1_1_0_1_8,2021-03-29T11:37:55.849Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,611,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- fulfilling<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,216296,216287,215676,215656,215692,216326,,8,fulfilling
screen,html.Screen,1_1_0_1_9,2021-03-29T11:37:56.491Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,620,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,"---- -- ----- -- ------ - ------- --- ----------<br>relationship, ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----",216938.00000000003,216929,216309,216297,216326,216976,,9,"relationship,"
screen,html.Screen,1_1_0_1_10,2021-03-29T11:37:57.109Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,589,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- common ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,217556,217547,216958,216938.00000000003,216976,217592,,10,common
screen,html.Screen,1_1_0_1_11,2021-03-29T11:37:57.671Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,535,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ wisdom ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,218119,218110,217575,217557.00000000003,217592,218159,,11,wisdom
screen,html.Screen,1_1_0_1_12,2021-03-29T11:37:58.212Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,508,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ says ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,218659,218650,218142,218119,218159,218692,,12,says
screen,html.Screen,1_1_0_1_13,2021-03-29T11:37:58.832Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,593,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- that ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,219279,219269,218676,218659,218692,219309,,13,that
screen,html.Screen,1_1_0_1_14,2021-03-29T11:37:59.460Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,606,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- feeling ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,219907,219898,219292,219279,219309,219942,,14,feeling
screen,html.Screen,1_1_0_1_15,2021-03-29T11:38:00.000Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,513.0000000000291,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- close -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,220448,220438.00000000003,219925,219908.00000000003,219942,220476,,15,close
screen,html.Screen,1_1_0_1_16,2021-03-29T11:38:00.643Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,622.0000000000291,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- to ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,221090,221081.00000000003,220459,220448,220476,221126,,16,to
screen,html.Screen,1_1_0_1_17,2021-03-29T11:38:01.190Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,519,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- your<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,221637,221628,221109,221090,221126,221676,,17,your
screen,html.Screen,1_1_0_1_18,2021-03-29T11:38:01.819Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,598,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>romantic ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,222266,222257,221659,221637,221676,222309,,18,romantic
screen,html.Screen,1_1_0_1_19,2021-03-29T11:38:02.380Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,526,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- partner -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,222827,222818,222292,222267,222309,222858,,19,partner
screen,html.Screen,1_1_0_1_20,2021-03-29T11:38:02.854Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,451,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- is ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,223301.00000000003,223292,222841,222828,222858,223342,,20,is
screen,html.Screen,1_1_0_1_21,2021-03-29T11:38:03.589Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,702.0000000000291,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- paramount. --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,224036,224027.00000000003,223325,223301.00000000003,223342,224075,,21,paramount.
screen,html.Screen,1_1_0_1_22,2021-03-29T11:38:04.184Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,564.0000000000291,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- But - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,224632,224623.00000000003,224059,224036,224075,224675,,22,But
