"subject","block_number","sound","list","block_time","block_time_s","block_time_m","block_start"
27,2,"Instrumental","B",148308.47,148.30847,2.47180783333333,61929
27,3,"Speech","B",146411.898999988,146.411898999988,2.44019831666647,62087
27,4,"Silence","B",152378.185,152.378185,2.53963641666667,62238
28,1,"Lyrical","B",171818.892999999,171.818892999999,2.86364821666664,61946
28,2,"Instrumental","B",208948.864,208.948864,3.48248106666666,62149
28,3,"Speech","B",231445.339999999,231.445339999999,3.85742233333332,62418
28,4,"Silence","B",252019.921999999,252.019921999999,4.20033203333331,62662
29,1,"Lyrical","B",204386.961999857,204.386961999857,3.40644936666428,62163
29,2,"Instrumental","B",176139.958999905,176.139958999905,2.93566598333174,62376
29,3,"Speech","B",167678.598,167.678598,2.7946433,62604
29,4,"Silence","B",191756.003999809,191.756003999809,3.19593339999682,62785
30,1,"Lyrical","B",196090.646,196.090646,3.26817743333334,62477
30,2,"Instrumental","B",170538.473,170.538473,2.84230788333334,62682
30,3,"Speech","B",180733.201,180.733201,3.01222001666666,62867
30,4,"Silence","B",180791.414,180.791414,3.01319023333334,63057
31,1,"Lyrical","B",291331.117000012,291.331117000012,4.85551861666687,62361
31,2,"Instrumental","B",266847.507999976,266.847507999976,4.44745846666627,62663
31,3,"Speech","B",265807.534000012,265.807534000012,4.43012556666687,62942
31,4,"Silence","B",263820.146,263.820146,4.39700243333333,63216
32,1,"Lyrical","B",220490.6,220.4906,3.67484333333333,62730
32,2,"Instrumental","B",191251.84,191.25184,3.18753066666667,62958
32,3,"Speech","B",192292.84,192.29284,3.20488066666667,63160
32,4,"Silence","B",189722.78,189.72278,3.16204633333333,63359
33,1,"Lyrical","B",279068.701999988,279.068701999988,4.65114503333313,63073
33,2,"Instrumental","B",210111.161,210.111161,3.50185268333333,63370
33,3,"Speech","B",237953.779,237.953779,3.96589631666667,63622
33,4,"Silence","B",207795.296999994,207.795296999994,3.4632549499999,63872
34,1,"Lyrical","B",284954.078,284.954078,4.74923463333333,78741
34,2,"Instrumental","B",240436.137999997,240.436137999997,4.00726896666662,79039
34,3,"Speech","B",244169.088999999,244.169088999999,4.06948481666664,79372
34,4,"Silence","B",252878.234999998,252.878234999998,4.21463724999998,79643
35,1,"Lyrical","B",157593.899999809,157.593899999809,2.62656499999682,39936
35,2,"Instrumental","B",166473.507999857,166.473507999857,2.77455846666428,40101
35,3,"Speech","B",134029.458999857,134.029458999857,2.23382431666428,40308
35,4,"Silence","B",146166.934999809,146.166934999809,2.43611558333015,40455
36,1,"Lyrical","B",190456.412,190.456412,3.17427353333333,40217
36,2,"Instrumental","B",164962.529999999,164.962529999999,2.74937549999998,40415
36,3,"Speech","B",161727.436999999,161.727436999999,2.69545728333331,40591
36,4,"Silence","B",181309.349999999,181.309349999999,3.02182249999998,40760
37,1,"Lyrical","B",190781.937000024,190.781937000024,3.1796989500004,40286
37,2,"Instrumental","B",172223.627,172.223627,2.87039378333333,40493
37,3,"Speech","B",176484.565999988,176.484565999988,2.94140943333314,40678
37,4,"Silence","B",167283.683000036,167.283683000036,2.78806138333393,40867
38,1,"Lyrical","B",190420.040999999,190.420040999999,3.17366734999999,40195
38,2,"Instrumental","B",175516.642999998,175.516642999998,2.9252773833333,40394
38,3,"Speech","B",187504.428999998,187.504428999998,3.12507381666664,40657
38,4,"Silence","B",194973.343999999,194.973343999999,3.24955573333331,40858
39,1,"Lyrical","B",303432.649000003,303.432649000003,5.05721081666672,40685
39,2,"Instrumental","B",225375.475000003,225.375475000003,3.75625791666672,41011
39,3,"Speech","B",251005.777999999,251.005777999999,4.18342963333331,41269
39,4,"Silence","B",302063.571000001,302.063571000001,5.03439285000002,41537
40,1,"Lyrical","B",210524.619,210.524619,3.50874365,32849
40,2,"Instrumental","B",129612.615,129.612615,2.16021025,33066
40,3,"Speech","B",141474.661,141.474661,2.35791101666667,33205
40,4,"Silence","B",164206.026,164.206026,2.7367671,33354
41,1,"Lyrical","B",178382.277000012,178.382277000012,2.9730379500002,32930
41,2,"Instrumental","B",186580.288000012,186.580288000012,3.10967146666687,33116
41,3,"Speech","B",188926.744,188.926744,3.14877906666667,33359
41,4,"Silence","B",180948.233000024,180.948233000024,3.01580388333373,33555
42,1,"Lyrical","B",167719.343999988,167.719343999988,2.7953223999998,33343
42,2,"Instrumental","B",153876.797999964,153.876797999964,2.5646132999994,33523
42,3,"Speech","B",145632.816999964,145.632816999964,2.42721361666607,33686
42,4,"Silence","B",156817.002000012,156.817002000012,2.6136167000002,33840
43,1,"Lyrical","B",277270.709,277.270709,4.62117848333333,33081
43,2,"Instrumental","B",243228.508999999,243.228508999999,4.05380848333332,33369
43,3,"Speech","B",250232.008999999,250.232008999999,4.17053348333333,33629
43,4,"Silence","B",235808.508999999,235.808508999999,3.93014181666666,33886
44,1,"Lyrical","B",163179.448999809,163.179448999809,2.71965748333015,29709
44,2,"Instrumental","B",159922.249999714,159.922249999714,2.66537083332857,29880
44,3,"Speech","B",157001.800999905,157.001800999905,2.61669668333174,30050
44,4,"Silence","B",169990.131999905,169.990131999905,2.83316886666508,30214
45,1,"Lyrical","B",179724.761999976,179.724761999976,2.9954126999996,49068
45,2,"Instrumental","B",157817.540000048,157.817540000048,2.63029233333413,49258
45,3,"Speech","B",183978.104999952,183.978104999952,3.06630174999921,49486
45,4,"Silence","B",177348.15,177.34815,2.9558025,49679
46,1,"Lyrical","B",189484.140999999,189.484140999999,3.15806901666664,49187
46,2,"Instrumental","B",163689.316999998,163.689316999998,2.7281552833333,49384
46,3,"Speech","B",159097.946999998,159.097946999998,2.65163244999996,49612
46,4,"Silence","B",161694.189999998,161.694189999998,2.69490316666663,49779
47,1,"Lyrical","B",274820.976000024,274.820976000024,4.5803496000004,49153
47,2,"Instrumental","B",236056.315000024,236.056315000024,3.93427191666706,49439
47,3,"Speech","B",212664.180999976,212.664180999976,3.54440301666627,49690
47,4,"Silence","B",226961.986999952,226.961986999952,3.78269978333254,49912
48,1,"Lyrical","B",160338.5,160.3385,2.67230833333333,49993
48,2,"Instrumental","B",144753.58,144.75358,2.41255966666667,50163
48,3,"Speech","B",142485.26,142.48526,2.37475433333333,50404
48,4,"Silence","B",157115.94,157.11594,2.618599,50563
49,1,"Lyrical","B",216354.54,216.35454,3.605909,58909
49,2,"Instrumental","B",167474.32,167.47432,2.79123866666667,59132
49,3,"Speech","B",150265.92,150.26592,2.504432,59308
49,4,"Silence","B",163917.56,163.91756,2.73195933333333,59464
50,1,"Lyrical","B",177230.791999964,177.230791999964,2.95384653333274,59139
50,2,"Instrumental","B",170765.531999952,170.765531999952,2.84609219999921,59325
50,3,"Speech","B",163718.616999964,163.718616999964,2.72864361666607,59508
50,4,"Silence","B",174363.576999976,174.363576999976,2.90605961666627,59681
51,1,"Lyrical","B",162110.446,162.110446,2.70184076666667,59426
51,2,"Instrumental","B",155283.119000003,155.283119000003,2.58805198333338,59596
51,3,"Speech","B",180493.667999997,180.493667999997,3.00822779999995,59854
51,4,"Silence","B",160020.589,160.020589,2.66700981666667,60041
52,1,"Lyrical","B",143395.24,143.39524,2.38992066666667,75005
52,2,"Instrumental","B",149203.54,149.20354,2.48672566666667,75157
52,3,"Speech","B",145355.92,145.35592,2.42259866666667,75324
52,4,"Silence","B",161332.7,161.3327,2.68887833333333,75475
53,1,"Instrumental","C",147502.32,147.50232,2.458372,46186
53,2,"Speech","C",157143.3,157.1433,2.619055,46342
53,3,"Silence","C",138124.02,138.12402,2.302067,46524
53,4,"Lyrical","C",147701.62,147.70162,2.46169366666667,46670
54,1,"Instrumental","C",136302.44,136.30244,2.27170733333333,46298
54,2,"Speech","C",138308.5,138.3085,2.30514166666667,46452
54,3,"Silence","C",123588.58,123.58858,2.05980966666667,46713
54,4,"Lyrical","C",126473.16,126.47316,2.107886,46861
55,1,"Instrumental","C",180699.742000048,180.699742000048,3.01166236666746,46240
55,2,"Speech","C",171053.953000048,171.053953000048,2.85089921666746,46431
55,3,"Silence","C",161061.684999952,161.061684999952,2.68436141666587,46619
55,4,"Lyrical","C",164774.883999952,164.774883999952,2.74624806666587,46788
56,1,"Instrumental","C",251530.946999999,251.530946999999,4.19218244999997,46068
56,2,"Speech","C",236869.610999999,236.869610999999,3.94782684999998,46331
56,3,"Silence","C",227599.156,227.599156,3.79331926666667,46584
56,4,"Lyrical","C",253959.688,253.959688,4.23266146666667,46827
57,1,"Instrumental","C",218132.225999988,218.132225999988,3.6355370999998,46763
57,2,"Speech","C",216050.828000012,216.050828000012,3.60084713333353,46993
57,3,"Silence","C",176216.460999994,176.216460999994,2.93694101666657,47252
57,4,"Lyrical","C",182645.270999988,182.645270999988,3.0440878499998,47436
58,1,"Instrumental","C",235562.337000072,235.562337000072,3.92603895000119,46882
58,2,"Speech","C",213137.666000072,213.137666000072,3.55229443333453,47128
58,3,"Silence","C",371867.580000072,371.867580000072,6.19779300000119,47356
58,4,"Lyrical","C",262128.816,262.128816,4.3688136,47746
59,1,"Instrumental","C",237973.716,237.973716,3.9662286,47380
