"subject","list","music","song_number","music_set","snippet_file","Pool","familiarity","preference","pleasantness","offensiveness","distraction","actual_artist","actual_song_name","artist_name","song_name"
12,"B","lyrical","3","A","static/A3_lyrical.mp3","University pool",4,6,6,1,4,"Nicki Minaj (feat. Rihanna)","Fly","",""
12,"B","instrumental","1","B","static/B1_instrumental.mp3","University pool",10,7,7,1,3,"Jessie J (feat. B.o.B)","Price tag","Jessie J","Price Tag"
12,"B","instrumental","2","B","static/B2_instrumental.mp3","University pool",2,2,2,2,9,"Iggy Azalea (ft. Charli XCX)","Fancy","",""
12,"B","instrumental","3","B","static/B3_instrumental.mp3","University pool",8,5,5,2,8,"Outkast","Ms. Jackson","","Ms. Jackson"
13,"B","lyrical","1","A","static/A1_lyrical.mp3","University pool",8,6,7,1,9,"Eminem","The way I am","Eminem",""
13,"B","lyrical","2","A","static/A2_lyrical.mp3","University pool",10,10,10,1,7,"Post Malone","WoW","Post malone","Wow"
13,"B","lyrical","3","A","static/A3_lyrical.mp3","University pool",10,9,9,1,4,"Nicki Minaj (feat. Rihanna)","Fly","Nicki Minaj and Rihanna","Fly"
13,"B","instrumental","1","B","static/B1_instrumental.mp3","University pool",10,8,8,1,7,"Jessie J (feat. B.o.B)","Price tag","Jessie J","Price Tag"
13,"B","instrumental","2","B","static/B2_instrumental.mp3","University pool",10,4,3,1,10,"Iggy Azalea (ft. Charli XCX)","Fancy","Iggy Azealea and Charlie XCX","Fancy"
13,"B","instrumental","3","B","static/B3_instrumental.mp3","University pool",10,8,6,1,6,"Outkast","Ms. Jackson","Outkast","Ms Jackson"
14,"B","lyrical","1","A","static/A1_lyrical.mp3","University pool",4,5,3,1,8,"Eminem","The way I am",NA,NA
14,"B","lyrical","2","A","static/A2_lyrical.mp3","University pool",1,6,4,1,7,"Post Malone","WoW",NA,NA
14,"B","lyrical","3","A","static/A3_lyrical.mp3","University pool",1,5,7,1,6,"Nicki Minaj (feat. Rihanna)","Fly",NA,NA
14,"B","instrumental","1","B","static/B1_instrumental.mp3","University pool",9,10,9,1,3,"Jessie J (feat. B.o.B)","Price tag",NA,NA
14,"B","instrumental","2","B","static/B2_instrumental.mp3","University pool",NA,NA,NA,NA,NA,"Iggy Azalea (ft. Charli XCX)","Fancy",NA,NA
14,"B","instrumental","3","B","static/B3_instrumental.mp3","University pool",1,3,5,1,7,"Outkast","Ms. Jackson",NA,NA
15,"C","lyrical","1","A","static/A1_lyrical.mp3","University pool",10,10,10,1,9,"Eminem","The way I am","Eminem","the way I am"
15,"C","lyrical","2","A","static/A2_lyrical.mp3","University pool",10,7,8,1,6,"Post Malone","WoW","Post Malone","Wow"
15,"C","lyrical","3","A","static/A3_lyrical.mp3","University pool",7,5,5,1,5,"Nicki Minaj (feat. Rihanna)","Fly","Rihanna",""
15,"C","instrumental","1","B","static/B1_instrumental.mp3","University pool",9,6,6,1,4,"Jessie J (feat. B.o.B)","Price tag","Jessie J","Pricetag"
15,"C","instrumental","2","B","static/B2_instrumental.mp3","University pool",9,4,4,1,5,"Iggy Azalea (ft. Charli XCX)","Fancy","Iggy Azeala","Fancy"
15,"C","instrumental","3","B","static/B3_instrumental.mp3","University pool",10,10,10,1,8,"Outkast","Ms. Jackson","Outkast","Ms Jackson"
16,"C","lyrical","1","A","static/A1_lyrical.mp3","University pool",3,1,1,2,10,"Eminem","The way I am","Eminem",""
