subject;list;music;song_number;music_set;snippet_file;Pool;familiarity;preference;pleasantness;offensiveness;distraction;actual_artist;artist_name;accuracy_artist;actual_song_name;song_name;accuracy_song
14;A;instrumental;2;B;static/B2_instrumental.mp3;University pool;10;8;8;1;7;Iggy Azalea (ft. Charli XCX);Iggy Azealia;1;Fancy;Fancy;1
14;A;instrumental;3;B;static/B3_instrumental.mp3;University pool;5;5;5;1;6;Outkast;;0;Ms. Jackson;;0
15;A;lyrical;1;A;static/A1_lyrical.mp3;University pool;10;10;10;1;10;Eminem;Eminem;1;The way I am;The way I am;1
15;A;lyrical;2;A;static/A2_lyrical.mp3;University pool;10;10;10;1;10;Post Malone;Post Malone;1;WoW;Wow!;1
15;A;lyrical;3;A;static/A3_lyrical.mp3;University pool;7;6;8;1;7;Nicki Minaj (feat. Rihanna);Rihanna;1;Fly;Fly;1
15;A;instrumental;1;B;static/B1_instrumental.mp3;University pool;10;3;5;1;3;Jessie J (feat. B.o.B);Jessie J, BOB;1;Price tag;Price tag;1
15;A;instrumental;2;B;static/B2_instrumental.mp3;University pool;10;9;9;1;3;Iggy Azalea (ft. Charli XCX);Iggy Azelea, Charli XCX;1;Fancy;Fancy;1
15;A;instrumental;3;B;static/B3_instrumental.mp3;University pool;10;7;8;1;3;Outkast;;0;Ms. Jackson;Ms Jackson;1
16;A;lyrical;1;A;static/A1_lyrical.mp3;University pool;3;5;7;1;9;Eminem;Eminem;1;The way I am;;0
16;A;lyrical;2;A;static/A2_lyrical.mp3;University pool;10;7;9;1;3;Post Malone;;0;WoW;;0
16;A;lyrical;3;A;static/A3_lyrical.mp3;University pool;10;1;2;1;7;Nicki Minaj (feat. Rihanna);;0;Fly;;0
16;A;instrumental;1;B;static/B1_instrumental.mp3;University pool;10;8;6;1;2;Jessie J (feat. B.o.B);Jessie J;1;Price tag;Pricetag;1
16;A;instrumental;2;B;static/B2_instrumental.mp3;University pool;10;10;10;1;8;Iggy Azalea (ft. Charli XCX);Iggy Azalea;1;Fancy;Fancy;1
16;A;instrumental;3;B;static/B3_instrumental.mp3;University pool;10;10;10;1;1;Outkast;OutKast;1;Ms. Jackson;Ms Jackson;1
17;A;lyrical;1;A;static/A1_lyrical.mp3;University pool;8;8;6;4;9;Eminem;eminem;1;The way I am;;0
17;A;lyrical;2;A;static/A2_lyrical.mp3;University pool;10;7;7;2;8;Post Malone;post malone;1;WoW;wow;1
