subject;list;music;song_number;music_set;snippet_file;Pool;familiarity;preference;pleasantness;offensiveness;distraction;actual_artist;artist_name;accuracy_artist;actual_song_name;song_name;accuracy_song;;
6;A;lyrical;2;A;static/A2_lyrical.mp3;University pool;10;8;8;2;7;Post Malone;Post Malone;1;WoW;Wow;1;;
6;A;lyrical;3;A;static/A3_lyrical.mp3;University pool;10;9;9;1;7;Nicki Minaj (feat. Rihanna);Rihanna and Nicki Minaj;1;Fly;Fly;1;;
6;A;instrumental;1;B;static/B1_instrumental.mp3;University pool;10;7;8;1;6;Jessie J (feat. B.o.B);Jessie J;1;Price tag;Price Tag;1;;
6;A;instrumental;2;B;static/B2_instrumental.mp3;University pool;10;8;8;1;8;Iggy Azalea (ft. Charli XCX);Iggy Azalea;1;Fancy;Fancy;1;;
6;A;instrumental;3;B;static/B3_instrumental.mp3;University pool;10;10;9;1;6;Outkast;Outkast;1;Ms. Jackson;Sorry Mrs Jackson;1;;
7;A;lyrical;1;A;static/A1_lyrical.mp3;University pool;10;9;9;1;8;Eminem;Eminem;1;The way I am;The way I am;1;;
7;A;lyrical;2;A;static/A2_lyrical.mp3;University pool;10;8;8;1;6;Post Malone;Post Malone;1;WoW;Wow;1;;
7;A;lyrical;3;A;static/A3_lyrical.mp3;University pool;5;5;7;1;4;Nicki Minaj (feat. Rihanna);Rihanna ;1;Fly;Fly;1;;
7;A;instrumental;1;B;static/B1_instrumental.mp3;University pool;5;4;5;1;4;Jessie J (feat. B.o.B);;0;Price tag;;0;;
7;A;instrumental;2;B;static/B2_instrumental.mp3;University pool;9;6;6;1;7;Iggy Azalea (ft. Charli XCX);Iggy ;1;Fancy;Fancy;1;;
7;A;instrumental;3;B;static/B3_instrumental.mp3;University pool;4;6;6;1;2;Outkast;;0;Ms. Jackson;;0;;
8;A;lyrical;1;A;static/A1_lyrical.mp3;University pool;10;10;10;5;7;Eminem;Eminem;1;The way I am;The way I am;1;;
8;A;lyrical;2;A;static/A2_lyrical.mp3;University pool;10;9;9;1;7;Post Malone;Post Malone;1;WoW;Wow;1;;
8;A;lyrical;3;A;static/A3_lyrical.mp3;University pool;8;6;6;1;5;Nicki Minaj (feat. Rihanna);Rihanna;1;Fly;Fly;1;;
8;A;instrumental;1;B;static/B1_instrumental.mp3;University pool;9;2;2;1;3;Jessie J (feat. B.o.B);Jessie J;1;Price tag;Price tag;1;;
8;A;instrumental;2;B;static/B2_instrumental.mp3;University pool;7;2;1;1;6;Iggy Azalea (ft. Charli XCX);Iggy Azalea;1;Fancy;Fancy;1;;
8;A;instrumental;3;B;static/B3_instrumental.mp3;University pool;10;10;10;1;5;Outkast;OutKast;1;Ms. Jackson;Ms Jackson;1;;
9;A;lyrical;1;A;static/A1_lyrical.mp3;University pool;5;6;4;1;4;Eminem;Eminem;1;The way I am;;0;;
9;A;lyrical;2;A;static/A2_lyrical.mp3;University pool;8;6;6;1;7;Post Malone;;0;WoW;;0;;
9;A;lyrical;3;A;static/A3_lyrical.mp3;University pool;8;7;7;1;6;Nicki Minaj (feat. Rihanna);Beyonce;0;Fly;;0;;
9;A;instrumental;1;B;static/B1_instrumental.mp3;University pool;8;8;8;1;2;Jessie J (feat. B.o.B);Jessie J;1;Price tag;Price Tag;1;;
9;A;instrumental;2;B;static/B2_instrumental.mp3;University pool;7;6;6;1;2;Iggy Azalea (ft. Charli XCX);;0;Fancy;;0;;
9;A;instrumental;3;B;static/B3_instrumental.mp3;University pool;10;9;8;1;2;Outkast;;0;Ms. Jackson;Mrs Jackson;1;;
10;A;lyrical;1;A;static/A1_lyrical.mp3;University pool;1;7;7;3;9;Eminem;Eminem;1;The way I am;;0;;
10;A;lyrical;2;A;static/A2_lyrical.mp3;University pool;10;10;NA;2;10;Post Malone;Post Malone;1;WoW;Wow;1;;
10;A;lyrical;3;A;static/A3_lyrical.mp3;University pool;7;8;8;1;8;Nicki Minaj (feat. Rihanna);Rihanna;1;Fly;;0;;
10;A;instrumental;1;B;static/B1_instrumental.mp3;University pool;10;10;10;1;10;Jessie J (feat. B.o.B);Jessie J;1;Price tag;Price Tag;1;;
10;A;instrumental;2;B;static/B2_instrumental.mp3;University pool;10;5;5;1;10;Iggy Azalea (ft. Charli XCX);Iggy isaglia + Charlie xcx;1;Fancy;Fancy;1;;
10;A;instrumental;3;B;static/B3_instrumental.mp3;University pool;10;9;7;4;10;Outkast;;0;Ms. Jackson;miss jackson ;1;;
11;A;lyrical;1;A;static/A1_lyrical.mp3;University pool;9;7;6;1;6;Eminem;Eminem ;1;The way I am;The way I am;1;;
11;A;lyrical;2;A;static/A2_lyrical.mp3;University pool;8;4;5;2;6;Post Malone;;0;WoW;;0;;
11;A;lyrical;3;A;static/A3_lyrical.mp3;University pool;10;6;4;1;7;Nicki Minaj (feat. Rihanna);Nicki Minaj and rihanna;1;Fly;Fly;1;;
11;A;instrumental;1;B;static/B1_instrumental.mp3;University pool;10;6;1;1;10;Jessie J (feat. B.o.B);Jessie J ;1;Price tag;Price Tag;1;;
11;A;instrumental;2;B;static/B2_instrumental.mp3;University pool;10;4;1;1;10;Iggy Azalea (ft. Charli XCX);Iggy azalea ;1;Fancy;fancy;1;;
11;A;instrumental;3;B;static/B3_instrumental.mp3;University pool;10;8;5;1;7;Outkast;Outkast;1;Ms. Jackson;Mrs Jackson;1;;
12;A;lyrical;1;A;static/A1_lyrical.mp3;University pool;4;8;7;1;10;Eminem;;0;The way I am;;0;;
12;A;lyrical;2;A;static/A2_lyrical.mp3;University pool;10;5;5;1;10;Post Malone;Post Malone;1;WoW;Wow;1;;
12;A;lyrical;3;A;static/A3_lyrical.mp3;University pool;10;8;8;1;10;Nicki Minaj (feat. Rihanna);Nicki Minaj feat Rihanna;1;Fly;Fly;1;;
12;A;instrumental;1;B;static/B1_instrumental.mp3;University pool;10;5;5;1;10;Jessie J (feat. B.o.B);Jessie J;1;Price tag;Price Tag;1;;
12;A;instrumental;2;B;static/B2_instrumental.mp3;University pool;10;8;8;1;10;Iggy Azalea (ft. Charli XCX);;0;Fancy;;0;;
12;A;instrumental;3;B;static/B3_instrumental.mp3;University pool;7;5;5;1;10;Outkast;;0;Ms. Jackson;;0;;
13;A;lyrical;1;A;static/A1_lyrical.mp3;University pool;1;1;1;1;9;Eminem;Eminem;1;The way I am;;0;;
13;A;lyrical;2;A;static/A2_lyrical.mp3;University pool;10;5;5;1;8;Post Malone;Post Malone;1;WoW;wow;1;;
13;A;lyrical;3;A;static/A3_lyrical.mp3;University pool;10;7;7;1;7;Nicki Minaj (feat. Rihanna);Nicki Minaj and Rihanna;1;Fly;Fly;1;;
13;A;instrumental;1;B;static/B1_instrumental.mp3;University pool;10;8;8;1;8;Jessie J (feat. B.o.B);Jessie J;1;Price tag;Price Tag;1;;
13;A;instrumental;2;B;static/B2_instrumental.mp3;University pool;10;9;9;1;9;Iggy Azalea (ft. Charli XCX);Iggy Azelia;1;Fancy;Fancy;1;;
13;A;instrumental;3;B;static/B3_instrumental.mp3;University pool;10;10;10;1;4;Outkast;OutKast;1;Ms. Jackson;Mrs Jackson;1;;
14;A;lyrical;1;A;static/A1_lyrical.mp3;University pool;9;9;9;1;7;Eminem;eminem;1;The way I am;the way i am;1;;
14;A;lyrical;2;A;static/A2_lyrical.mp3;University pool;10;10;10;1;5;Post Malone;post malone;1;WoW;wow;1;;
14;A;lyrical;3;A;static/A3_lyrical.mp3;University pool;10;8;9;1;4;Nicki Minaj (feat. Rihanna);nicki minaj and rihanna;1;Fly;fly;1;;
14;A;instrumental;1;B;static/B1_instrumental.mp3;University pool;10;10;9;1;3;Jessie J (feat. B.o.B);jessie j;1;Price tag;price tag;1;;
14;A;instrumental;2;B;static/B2_instrumental.mp3;University pool;10;5;6;1;5;Iggy Azalea (ft. Charli XCX);iggy azalea;1;Fancy;fancy;1;;
14;A;instrumental;3;B;static/B3_instrumental.mp3;University pool;5;6;6;1;5;Outkast;;0;Ms. Jackson;;0;;
15;A;lyrical;1;A;static/A1_lyrical.mp3;University pool;6;5;5;1;9;Eminem;;0;The way I am;;0;;
15;A;lyrical;2;A;static/A2_lyrical.mp3;University pool;5;4;4;1;7;Post Malone;;0;WoW;;0;;
