subject,list,music,song_number,music_set,snippet_file,Pool,familiarity,preference,pleasantness,offensiveness,distraction,actual_artist,artist_name,accuracy_artist,actual_song_name,song_name,accuracy_song
115,D,lyrical,3,B,static/B3_lyrical.mp3,Prolific,2,6,5,2,8,Atmosphere,NA,0,Just for show,NA,0
115,D,instrumental,1,A,static/A1_instrumental.mp3,Prolific,5,5,3,1,10,Sa-Roc,NA,0,Starseed,NA,0
115,D,instrumental,2,A,static/A2_instrumental.mp3,Prolific,1,3,2,1,8,Johnie Bee ft. Rasco,NA,0,In My Prime,NA,0
115,D,instrumental,3,A,static/A3_instrumental.mp3,Prolific,5,7,7,2,9,Evidence,NA,0,Throw It All Away,NA,0
116,D,lyrical,1,B,static/B1_lyrical.mp3,Prolific,1,6,8,1,8,The Four Owls,NA,0,Old Earth,NA,0
116,D,lyrical,2,B,static/B2_lyrical.mp3,Prolific,1,8,7,1,8,Aesop Rock,NA,0,Molecules,NA,0
116,D,lyrical,3,B,static/B3_lyrical.mp3,Prolific,1,4,4,1,9,Atmosphere,NA,0,Just for show,NA,0
116,D,instrumental,1,A,static/A1_instrumental.mp3,Prolific,1,3,3,1,9,Sa-Roc,NA,0,Starseed,NA,0
116,D,instrumental,2,A,static/A2_instrumental.mp3,Prolific,1,2,1,1,10,Johnie Bee ft. Rasco,NA,0,In My Prime,NA,0
116,D,instrumental,3,A,static/A3_instrumental.mp3,Prolific,1,5,7,1,4,Evidence,NA,0,Throw It All Away,NA,0
117,D,lyrical,1,B,static/B1_lyrical.mp3,Prolific,2,2,2,1,8,The Four Owls,NA,0,Old Earth,NA,0
117,D,lyrical,2,B,static/B2_lyrical.mp3,Prolific,1,3,3,1,8,Aesop Rock,NA,0,Molecules,NA,0
117,D,lyrical,3,B,static/B3_lyrical.mp3,Prolific,6,6,6,1,6,Atmosphere,NA,0,Just for show,NA,0
117,D,instrumental,1,A,static/A1_instrumental.mp3,Prolific,2,6,6,1,6,Sa-Roc,NA,0,Starseed,NA,0
117,D,instrumental,2,A,static/A2_instrumental.mp3,Prolific,1,3,3,1,6,Johnie Bee ft. Rasco,NA,0,In My Prime,NA,0
117,D,instrumental,3,A,static/A3_instrumental.mp3,Prolific,1,4,5,1,5,Evidence,NA,0,Throw It All Away,NA,0
118,D,lyrical,1,B,static/B1_lyrical.mp3,Prolific,3,4,4,5,8,The Four Owls,NA,0,Old Earth,NA,0
118,D,lyrical,2,B,static/B2_lyrical.mp3,Prolific,1,2,3,4,8,Aesop Rock,NA,0,Molecules,NA,0
118,D,lyrical,3,B,static/B3_lyrical.mp3,Prolific,1,2,2,2,8,Atmosphere,NA,0,Just for show,NA,0
118,D,instrumental,1,A,static/A1_instrumental.mp3,Prolific,3,4,4,3,8,Sa-Roc,NA,0,Starseed,NA,0
118,D,instrumental,2,A,static/A2_instrumental.mp3,Prolific,3,2,2,2,8,Johnie Bee ft. Rasco,NA,0,In My Prime,NA,0
118,D,instrumental,3,A,static/A3_instrumental.mp3,Prolific,3,3,3,2,7,Evidence,NA,0,Throw It All Away,NA,0
119,D,lyrical,1,B,static/B1_lyrical.mp3,Prolific,1,6,7,1,8,The Four Owls,NA,0,Old Earth,NA,0
119,D,lyrical,2,B,static/B2_lyrical.mp3,Prolific,1,3,3,1,7,Aesop Rock,NA,0,Molecules,NA,0
119,D,lyrical,3,B,static/B3_lyrical.mp3,Prolific,1,3,2,1,5,Atmosphere,NA,0,Just for show,NA,0
119,D,instrumental,1,A,static/A1_instrumental.mp3,Prolific,1,2,2,1,3,Sa-Roc,NA,0,Starseed,NA,0
119,D,instrumental,2,A,static/A2_instrumental.mp3,Prolific,1,1,1,1,3,Johnie Bee ft. Rasco,NA,0,In My Prime,NA,0
119,D,instrumental,3,A,static/A3_instrumental.mp3,Prolific,1,8,8,1,2,Evidence,NA,0,Throw It All Away,NA,0
120,D,lyrical,1,B,static/B1_lyrical.mp3,Prolific,6,8,8,1,8,The Four Owls,NA,0,Old Earth,NA,0
120,D,lyrical,2,B,static/B2_lyrical.mp3,Prolific,1,8,8,1,7,Aesop Rock,NA,0,Molecules,NA,0
120,D,lyrical,3,B,static/B3_lyrical.mp3,Prolific,2,7,7,1,8,Atmosphere,NA,0,Just for show,NA,0
120,D,instrumental,1,A,static/A1_instrumental.mp3,Prolific,6,6,6,1,4,Sa-Roc,NA,0,Starseed,NA,0
120,D,instrumental,2,A,static/A2_instrumental.mp3,Prolific,1,5,7,1,3,Johnie Bee ft. Rasco,NA,0,In My Prime,NA,0
120,D,instrumental,3,A,static/A3_instrumental.mp3,Prolific,2,4,6,1,3,Evidence,NA,0,Throw It All Away,NA,0
121,D,lyrical,1,B,static/B1_lyrical.mp3,Prolific,2,9,9,1,6,The Four Owls,NA,0,Old Earth,NA,0
121,D,lyrical,2,B,static/B2_lyrical.mp3,Prolific,1,7,7,1,6,Aesop Rock,NA,0,Molecules,NA,0
121,D,lyrical,3,B,static/B3_lyrical.mp3,Prolific,2,7,7,1,5,Atmosphere,NA,0,Just for show,NA,0
121,D,instrumental,1,A,static/A1_instrumental.mp3,Prolific,1,4,5,1,6,Sa-Roc,NA,0,Starseed,NA,0
121,D,instrumental,2,A,static/A2_instrumental.mp3,Prolific,1,3,3,1,6,Johnie Bee ft. Rasco,NA,0,In My Prime,NA,0
121,D,instrumental,3,A,static/A3_instrumental.mp3,Prolific,1,6,6,1,6,Evidence,NA,0,Throw It All Away,NA,0
122,D,lyrical,1,B,static/B1_lyrical.mp3,Prolific,1,6,NA,1,3,The Four Owls,NA,0,Old Earth,NA,0
122,D,lyrical,2,B,static/B2_lyrical.mp3,Prolific,1,4,4,1,4,Aesop Rock,NA,0,Molecules,NA,0
122,D,lyrical,3,B,static/B3_lyrical.mp3,Prolific,1,4,4,1,4,Atmosphere,NA,0,Just for show,NA,0
122,D,instrumental,1,A,static/A1_instrumental.mp3,Prolific,1,8,8,1,3,Sa-Roc,NA,0,Starseed,NA,0
122,D,instrumental,2,A,static/A2_instrumental.mp3,Prolific,1,8,8,1,3,Johnie Bee ft. Rasco,NA,0,In My Prime,NA,0
122,D,instrumental,3,A,static/A3_instrumental.mp3,Prolific,1,9,9,1,3,Evidence,NA,0,Throw It All Away,NA,0
123,D,lyrical,1,B,static/B1_lyrical.mp3,Prolific,2,3,2,2,7,The Four Owls,NA,0,Old Earth,NA,0
123,D,lyrical,2,B,static/B2_lyrical.mp3,Prolific,1,2,2,2,7,Aesop Rock,NA,0,Molecules,NA,0
123,D,lyrical,3,B,static/B3_lyrical.mp3,Prolific,3,3,3,2,7,Atmosphere,NA,0,Just for show,NA,0
123,D,instrumental,1,A,static/A1_instrumental.mp3,Prolific,2,2,2,2,8,Sa-Roc,NA,0,Starseed,NA,0
123,D,instrumental,2,A,static/A2_instrumental.mp3,Prolific,2,3,3,2,7,Johnie Bee ft. Rasco,NA,0,In My Prime,NA,0
123,D,instrumental,3,A,static/A3_instrumental.mp3,Prolific,2,2,2,2,7,Evidence,NA,0,Throw It All Away,NA,0
124,D,lyrical,1,B,static/B1_lyrical.mp3,Prolific,4,10,10,6,10,The Four Owls,NA,0,Old Earth,NA,0
124,D,lyrical,2,B,static/B2_lyrical.mp3,Prolific,1,2,1,4,10,Aesop Rock,NA,0,Molecules,NA,0
124,D,lyrical,3,B,static/B3_lyrical.mp3,Prolific,1,1,1,1,10,Atmosphere,NA,0,Just for show,NA,0
124,D,instrumental,1,A,static/A1_instrumental.mp3,Prolific,7,10,9,1,2,Sa-Roc,NA,0,Starseed,NA,0
124,D,instrumental,2,A,static/A2_instrumental.mp3,Prolific,1,1,2,1,8,Johnie Bee ft. Rasco,NA,0,In My Prime,NA,0
124,D,instrumental,3,A,static/A3_instrumental.mp3,Prolific,3,6,5,1,4,Evidence,NA,0,Throw It All Away,NA,0
125,D,lyrical,1,B,static/B1_lyrical.mp3,Prolific,1,7,6,1,NA,The Four Owls,,0,Old Earth,NA,0
125,D,lyrical,2,B,static/B2_lyrical.mp3,Prolific,1,5,8,1,10,Aesop Rock,,0,Molecules,NA,0
125,D,lyrical,3,B,static/B3_lyrical.mp3,Prolific,9,5,6,1,7,Atmosphere,D12,0,Just for show,NA,0
125,D,instrumental,1,A,static/A1_instrumental.mp3,Prolific,1,8,8,1,9,Sa-Roc,,0,Starseed,NA,0
125,D,instrumental,2,A,static/A2_instrumental.mp3,Prolific,2,10,10,1,2,Johnie Bee ft. Rasco,,0,In My Prime,NA,0
125,D,instrumental,3,A,static/A3_instrumental.mp3,Prolific,1,2,2,1,9,Evidence,,0,Throw It All Away,NA,0
126,D,lyrical,1,B,static/B1_lyrical.mp3,Prolific,8,7,7,2,3,The Four Owls,NA,0,Old Earth,NA,0
126,D,lyrical,2,B,static/B2_lyrical.mp3,Prolific,1,1,2,1,8,Aesop Rock,NA,0,Molecules,NA,0
126,D,lyrical,3,B,static/B3_lyrical.mp3,Prolific,1,4,5,1,7,Atmosphere,NA,0,Just for show,NA,0
126,D,instrumental,1,A,static/A1_instrumental.mp3,Prolific,1,4,5,1,3,Sa-Roc,NA,0,Starseed,NA,0
126,D,instrumental,2,A,static/A2_instrumental.mp3,Prolific,1,3,3,1,5,Johnie Bee ft. Rasco,NA,0,In My Prime,NA,0
