sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,ended_on,familiarity,gender,headphone_check_performance,item,list,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
screen,html.Screen,1_1_0_1_9,2021-03-28T10:44:48.417Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,754.2810000201862,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,"---- -- ----- -- ------ - ------- --- ----------<br>relationship, ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----",127983.0700000166,127981.92000002018,127210.912,127212.89500000421,127227.639,127993.401,,9,"relationship,"
screen,html.Screen,1_1_0_1_10,2021-03-28T10:44:49.308Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,879.2589999936317,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- common ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,128873.76499999664,128872.65999999363,127976.679,127983.35500000394,127993.401,128875.938,,10,common
screen,html.Screen,1_1_0_1_11,2021-03-28T10:44:50.009Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,698.082000000024,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ wisdom ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,129574.68000001973,129574.02000000002,128859.401,128874.05000001309,128875.938,129592.205,,11,wisdom
screen,html.Screen,1_1_0_1_12,2021-03-28T10:44:50.824Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,796.4399999990856,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ says ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,130389.67000000412,130388.64499999909,129558.606,129574.7600000177,129592.205,130411.175,,12,says
screen,html.Screen,1_1_0_1_13,2021-03-28T10:44:51.249Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,402.70500000151515,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- that ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,130815.0050000113,130813.88000000152,130374.714,130389.98500001617,130411.175,130824.32,,13,that
screen,html.Screen,1_1_0_1_14,2021-03-28T10:44:51.864Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,605.2650000053109,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- feeling ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,131430.28500000946,131429.58500000532,130807.797,130815.28500001878,130824.32,131440.512,,14,feeling
screen,html.Screen,1_1_0_1_15,2021-03-28T10:44:52.470Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,594.7429999952437,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- close -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,132036.40500002075,132035.25499999523,131424.068,131430.44500000542,131440.512,132039.952,,15,close
screen,html.Screen,1_1_0_1_16,2021-03-28T10:44:52.972Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,496.5780000121449,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- to ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,132537.66000000178,132536.53000001214,132023.639,132036.71499999473,132039.952,132569.33,,16,to
screen,html.Screen,1_1_0_1_17,2021-03-28T10:44:53.535Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,530.7299999970419,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- your<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,133100.9999999951,133100.05999999703,132523.134,132538.09000001638,132569.33,133105.726,,17,your
screen,html.Screen,1_1_0_1_18,2021-03-28T10:44:54.095Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,554.874000002892,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>romantic ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,133661.12999999314,133660.6000000029,133089.045,133101.30000000936,133105.726,133672.041,,18,romantic
