sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,ended_on,familiarity,gender,headphone_check_performance,item,list,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
screen,html.Screen,1_1_0_1_1,2021-03-26T10:34:46.694Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,509.0410000500269,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- it ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,155709.35999997891,155708.34500005003,155182.814,155184.95500006247,155199.304,155715.242,,1,it
screen,html.Screen,1_1_0_1_2,2021-03-26T10:34:47.036Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,334.31300003416254,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- comes -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,156051.1000000406,156049.55500003416,155698.817,155709.67500004917,155715.242,156064.979,,2,comes
screen,html.Screen,1_1_0_1_3,2021-03-26T10:34:47.411Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,360.1410000289907,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- to ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,156426.19000002742,156425.12000002898,156048.383,156051.4400000684,156064.979,156431.197,,3,to
screen,html.Screen,1_1_0_1_4,2021-03-26T10:34:47.724Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,307.2180000289227,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- having - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,156739.45500003174,156738.4150000289,156414.654,156426.40500003472,156431.197,156747.679,,4,having
screen,html.Screen,1_1_0_1_5,2021-03-26T10:34:48.039Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,305.3760000257753,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ a ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,157054.21500001103,157053.05500002578,156730.96,156739.74500002805,156747.679,157063.871,,5,a
screen,html.Screen,1_1_0_1_6,2021-03-26T10:34:48.384Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,335.03400006730226,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - lasting --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,157399.91499995813,157398.90500006732,157047.258,157054.49000000954,157063.871,157413.476,,6,lasting
screen,html.Screen,1_1_0_1_7,2021-03-26T10:34:48.750Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,351.19899998398614,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- and ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,157765.78999997582,157764.67499998398,157396.906,157400.12500004377,157413.476,157779.773,,7,and
screen,html.Screen,1_1_0_1_8,2021-03-26T10:34:49.218Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,452.8520000624121,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- fulfilling<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,158233.80000004545,158232.6250000624,157763.169,157766.15999999922,157779.773,158245.756,,8,fulfilling
screen,html.Screen,1_1_0_1_9,2021-03-26T10:34:49.718Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,486.5890000258223,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,"---- -- ----- -- ------ - ------- --- ----------<br>relationship, ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----",158733.55500004254,158732.34500002582,158229.29,158234.09000004176,158245.756,158745.387,,9,"relationship,"
screen,html.Screen,1_1_0_1_10,2021-03-26T10:34:50.012Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,281.41299999237526,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- common ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,159027.929999982,159026.79999999236,158728.795,158733.84000000078,158745.387,159044.917,,10,common
