sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,ended_on,familiarity,gender,headphone_check_performance,item,list,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
screen,html.Screen,1_1_0_1_4,2021-03-25T15:17:12.522Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,340,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- having - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,132425,132419,132079,132078,132096,132449,,4,having
screen,html.Screen,1_1_0_1_5,2021-03-25T15:17:12.889Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,353,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ a ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,132791,132786,132433,132425,132449,132819,,5,a
screen,html.Screen,1_1_0_1_6,2021-03-25T15:17:13.211Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,305,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - lasting --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,133113,133107,132802,132791,132819,133137,,6,lasting
screen,html.Screen,1_1_0_1_7,2021-03-25T15:17:13.582Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,358,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- and ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,133485,133479,133121,133113,133137,133507,,7,and
screen,html.Screen,1_1_0_1_8,2021-03-25T15:17:14.077Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,483,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- fulfilling<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,133980,133974,133491,133485,133507,134009,,8,fulfilling
screen,html.Screen,1_1_0_1_9,2021-03-25T15:17:14.633Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,537,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,"---- -- ----- -- ------ - ------- --- ----------<br>relationship, ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----",134536,134530,133993,133980,134009,134579,,9,"relationship,"
screen,html.Screen,1_1_0_1_10,2021-03-25T15:17:15.440Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,775,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- common ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,135343,135337,134562,134536,134579,135382,,10,common
screen,html.Screen,1_1_0_1_11,2021-03-25T15:17:15.879Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,409,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ wisdom ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,135781,135775,135366,135343,135382,135818,,11,wisdom
screen,html.Screen,1_1_0_1_12,2021-03-25T15:17:16.286Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,381,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ says ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,136188.00000000003,136183,135802,135781,135818,136220,,12,says
screen,html.Screen,1_1_0_1_13,2021-03-25T15:17:16.714Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,407,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- that ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,136617,136611,136204,136189,136220,136657,,13,that
screen,html.Screen,1_1_0_1_14,2021-03-25T15:17:17.189Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,444,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- feeling ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,137091,137085,136641,136617,136657,137127,,14,feeling
screen,html.Screen,1_1_0_1_15,2021-03-25T15:17:17.577Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,364,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- close -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,137479,137474,137110,137091,137127,137513,,15,close
screen,html.Screen,1_1_0_1_16,2021-03-25T15:17:17.913Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,314,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- to ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,137815,137809,137495,137480,137513,137849,,16,to
screen,html.Screen,1_1_0_1_17,2021-03-25T15:17:18.381Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,444.0000000000291,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- your<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,138283.00000000003,138277.00000000003,137833,137815,137849,138318,,17,your
screen,html.Screen,1_1_0_1_18,2021-03-25T15:17:18.791Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,386.0000000000291,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>romantic ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,138694.00000000003,138688.00000000003,138302,138283.00000000003,138318,138721,,18,romantic
screen,html.Screen,1_1_0_1_19,2021-03-25T15:17:19.227Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,420,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- partner -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,139129,139124,138704,138694.00000000003,138721,139157,,19,partner
