sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,ended_on,familiarity,gender,headphone_check_performance,item,list,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
screen,html.Screen,1_1_0_1_5,2021-03-25T17:07:48.046Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,897.4519999803742,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ a ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,189390.4399999883,189389.16999998037,188475.062,188478.3499999903,188491.718,189424.946,,5,a
screen,html.Screen,1_1_0_1_6,2021-03-25T17:07:48.953Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,871.2989999759011,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - lasting --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,190297.43499995675,190296.2449999759,189408.258,189390.7650000183,189424.946,190308.331,,6,lasting
screen,html.Screen,1_1_0_1_7,2021-03-25T17:07:50.329Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,1364.453999944264,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- and ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,191673.9349999698,191672.78499994427,190291.507,190297.77499998454,190308.331,191691.14,,7,and
screen,html.Screen,1_1_0_1_8,2021-03-25T17:07:50.944Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,595.9799999935785,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- fulfilling<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,192288.32499997225,192287.1199999936,191674.588,191674.26499992143,191691.14,192290.908,,8,fulfilling
screen,html.Screen,1_1_0_1_9,2021-03-25T17:07:51.809Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,861.2569999776897,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,"---- -- ----- -- ------ - ------- --- ----------<br>relationship, ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----",193153.73499994166,193152.1649999777,192274.531,192288.64499996416,192290.908,193157.447,,9,"relationship,"
screen,html.Screen,1_1_0_1_10,2021-03-25T17:07:52.774Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,959.3479999217088,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- common ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,194118.00499993842,194116.7949999217,193140.936,193154.07499996945,193157.447,194123.917,,10,common
screen,html.Screen,1_1_0_1_11,2021-03-25T17:07:53.769Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,987.7380000151752,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ wisdom ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,195112.9550000187,195111.65500001516,194107.473,194118.35000000428,194123.917,195123.678,,11,wisdom
screen,html.Screen,1_1_0_1_12,2021-03-25T17:07:54.934Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,1153.9919999812846,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ says ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,196278.82999996655,196277.6699999813,195107.262,195113.40499995276,195123.678,196290.151,,12,says
screen,html.Screen,1_1_0_1_13,2021-03-25T17:07:55.752Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,804.5439999779337,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- that ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,197095.94000002835,197094.69499997795,196273.665,196279.1599999182,196290.151,197106.669,,13,that
screen,html.Screen,1_1_0_1_14,2021-03-25T17:07:56.391Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,627.3459999363404,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- feeling ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,197735.2650000248,197734.01499993633,197090.17,197096.26999998,197106.669,197739.909,,14,feeling
