sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,ended_on,familiarity,gender,headphone_check_performance,item,list,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
screen,html.Screen,1_1_0_1_1,2021-03-29T12:48:01.828Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,577.6950000122888,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- it ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,150916.65500006638,150915.7000000123,150321.546,150338.9699999243,150338.005,150921.475,,1,it
screen,html.Screen,1_1_0_1_2,2021-03-29T12:48:02.533Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,700.0049999725015,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- comes -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,151622.45999998413,151621.4799999725,150904.593,150916.83500004,150921.475,151637.743,,2,comes
screen,html.Screen,1_1_0_1_3,2021-03-29T12:48:03.031Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,480.7319999083702,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- to ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,152120.48000004143,152118.47499990836,151621.13,151622.64499999583,151637.743,152137.875,,3,to
screen,html.Screen,1_1_0_1_4,2021-03-29T12:48:03.666Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,615.609999993816,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- having - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,152755.45999989845,152753.48499999382,152121.061,152120.94499985687,152137.875,152771.121,,4,having
screen,html.Screen,1_1_0_1_5,2021-03-29T12:48:04.300Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,617.2989999738347,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ a ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,153389.31999984197,153388.41999997385,152754.401,152758.02499987185,152771.121,153404.057,,5,a
screen,html.Screen,1_1_0_1_6,2021-03-29T12:48:04.912Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,595.5180000234686,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - lasting --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,154001.5499999281,153999.57500002347,153387.638,153389.50000004843,153404.057,154003.989,,6,lasting
screen,html.Screen,1_1_0_1_7,2021-03-29T12:48:05.483Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,566.0710000563995,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- and ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,154572.0699999947,154570.0600000564,153987.266,154002.01499997638,154003.989,154587.38,,7,and
screen,html.Screen,1_1_0_1_8,2021-03-29T12:48:06.129Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,628.39499993145,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- fulfilling<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,155217.70999999717,155215.77499993145,154570.719,154572.535000043,154587.38,155220.435,,8,fulfilling
screen,html.Screen,1_1_0_1_9,2021-03-29T12:48:06.744Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,610.8999999953085,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,"---- -- ----- -- ------ - ------- --- ----------<br>relationship, ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----",155833.27499986626,155831.3349999953,155203.917,155218.2099998463,155220.435,155836.959,,9,"relationship,"
screen,html.Screen,1_1_0_1_10,2021-03-29T12:48:07.515Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,765.1460000563238,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- common ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,156604.24000001512,156602.10500005633,155820.486,155833.8549998589,155836.959,156620.209,,10,common
