"subject","which_list","song_rating","snippet_file","familiarity","preference","pleasantness","offensiveness","distraction","artist_name","song_name"
16,"A",4,"static/B1_instrumental.mp3",10,8,8,1,9,"Jessie J","Price Tag"
16,"A",5,"static/B2_instrumental.mp3",10,10,8,1,9,"Iggy ","Fancy"
16,"A",6,"static/B3_instrumental.mp3",10,8,8,1,7,"Outkast?","Ms. Jackson"
17,"A",1,"static/A1_lyrical.mp3",5,2,1,5,8,"Eminem",""
17,"A",2,"static/A2_lyrical.mp3",10,10,10,1,3,"Post Malone","Wow"
17,"A",3,"static/A3_lyrical.mp3",3,7,7,1,3,"Rhianna",""
17,"A",4,"static/B1_instrumental.mp3",10,3,3,1,6,"Jessie J","Price tag"
17,"A",5,"static/B2_instrumental.mp3",10,7,7,1,6,"Iggy Azela and Charlie XCX","Fancy"
17,"A",6,"static/B3_instrumental.mp3",8,7,7,1,3,"","Miss Jackson"
18,"A",1,"static/A1_lyrical.mp3",3,3,3,1,6,"eminem",""
18,"A",2,"static/A2_lyrical.mp3",9,7,7,1,7,"post malone","wow"
18,"A",3,"static/A3_lyrical.mp3",1,2,5,1,5,"",""
18,"A",4,"static/B1_instrumental.mp3",10,8,8,1,6,"jessie j","price tag"
18,"A",5,"static/B2_instrumental.mp3",10,7,6,1,7,"iggy azalea","fancy"
18,"A",6,"static/B3_instrumental.mp3",6,5,5,1,6,"",""
19,"A",1,"static/A1_lyrical.mp3",5,3,3,7,10,"Eminem",""
19,"A",2,"static/A2_lyrical.mp3",10,8,5,1,10,"post malone ","wow"
19,"A",3,"static/A3_lyrical.mp3",10,9,10,1,7,"Rihanna","fly"
19,"A",4,"static/B1_instrumental.mp3",10,10,10,1,6,"Jessie J","Price Tag"
19,"A",5,"static/B2_instrumental.mp3",10,2,2,2,10,"Iggy Azalea","I'm so fancy"
19,"A",6,"static/B3_instrumental.mp3",7,6,6,1,5,"",""
20,"B",1,"static/A1_lyrical.mp3",7,7,5,8,8,"Eminiem","The way i am"
20,"B",2,"static/A2_lyrical.mp3",10,9,8,1,4,"post malone","wow"
20,"B",3,"static/A3_lyrical.mp3",8,6,5,1,4,"","fly"
20,"B",4,"static/B1_instrumental.mp3",10,6,8,1,6,"jessie j","price tag"
20,"B",5,"static/B2_instrumental.mp3",10,5,6,2,5,"iggy azalea","fancy"
20,"B",6,"static/B3_instrumental.mp3",10,9,9,1,5,"outkast","ms jackson"
21,"B",1,"static/A1_lyrical.mp3",6,6,5,1,8,"Eminem","The way I am"
21,"B",2,"static/A2_lyrical.mp3",10,8,8,1,9,"Post Malone","Wow"
21,"B",3,"static/A3_lyrical.mp3",9,7,9,1,4,"Rihanna and Nicki Minaj","Fly"
21,"B",4,"static/B1_instrumental.mp3",4,1,1,1,2,"",""
21,"B",5,"static/B2_instrumental.mp3",10,7,4,1,10,"Iggy Azelea and Charlie XCX","Fancy"
21,"B",6,"static/B3_instrumental.mp3",9,9,7,2,8,"OutKast","Ms Jackson"
22,"B",1,"static/A1_lyrical.mp3",10,10,10,1,10,"Eminem",NA
22,"B",2,"static/A2_lyrical.mp3",1,1,1,1,5,"",NA
22,"B",3,"static/A3_lyrical.mp3",6,2,3,1,5,"",NA
22,"B",4,"static/B1_instrumental.mp3",8,8,8,1,8,"",NA
