sub	item	cond	sound	block	trialtype	ans1	corr_ans1	acc1	ans2	corr_ans2	acc2	Q1time	Q2time
6	28	5	Silence	difficult	Prac	1	3	0	1	2	0	4.440668185	1.050132351
6	2	6	Noise	difficult	Exp	1	1	1	1	2	0	1.51548932	1.750024998
6	3	6	Noise	difficult	Exp	1	4	0	1	3	0	3.083386775	0.766874774
6	1	6	Noise	difficult	Exp	1	4	0	1	3	0	0.516964284	0.549914918
6	6	7	Mandarin	difficult	Exp	1	2	0	1	3	0	1.548347	0.383292383
6	4	7	Mandarin	difficult	Exp	1	2	0	1	4	0	1.700223708	0.517325841
6	5	7	Mandarin	difficult	Exp	1	1	1	1	1	1	0.516938479	0.533330225
6	7	8	English	difficult	Exp	1	3	0	1	2	0	2.966740591	6.099972642
6	8	8	English	difficult	Exp	1	3	0	1	2	0	0.917006158	0.350457869
6	9	8	English	difficult	Exp	1	4	0	1	1	1	0.63171794	0.567493966
6	12	5	Silence	difficult	Exp	1	4	0	1	2	0	0.950258529	0.383999369
6	10	5	Silence	difficult	Exp	1	3	0	1	2	0	1.216684217	0.501062824
6	11	5	Silence	difficult	Exp	1	2	0	1	2	0	0.616790308	0.499952936
6	25	1	Silence	easy	Prac	1	2	0	1	1	1	1.716885814	0.450134052
6	26	1	Silence	easy	Prac	1	1	1	1	2	0	0.650184312	0.866782905
6	13	2	Noise	easy	Exp	1	1	1	1	2	0	3.750184224	0.483959988
6	15	2	Noise	easy	Exp	1	2	0	1	1	1	1.583473425	0.467302279
6	14	2	Noise	easy	Exp	1	2	0	1	2	0	0.814859777	0.500964005
6	17	3	Mandarin	easy	Exp	1	1	1	1	2	0	3.667450186	3.416349168
6	18	3	Mandarin	easy	Exp	1	2	0	1	1	1	1.966788975	0.516833795
6	16	3	Mandarin	easy	Exp	1	2	0	1	1	1	1.666839381	0.517453984
6	19	4	English	easy	Exp	1	2	0	1	1	1	1.517082457	0.617046595
6	20	4	English	easy	Exp	1	2	0	1	2	0	4.133473675	0.700613415
6	21	4	English	easy	Exp	1	1	1	1	2	0	3.933503174	0.466553948
6	24	1	Silence	easy	Exp	1	2	0	1	1	1	0.683382729	0.567432093
6	22	1	Silence	easy	Exp	1	1	1	1	2	0	4.000246023	0.049965501
6	23	1	Silence	easy	Exp	1	1	1	1	2	0	3.182677942	0.433225336
7	27	5	Silence	difficult	Prac	1	3	0	1	2	0	9.216847254	0.416704861
7	28	5	Silence	difficult	Prac	1	3	0	1	2	0	0.65016144	0.503683744
7	3	7	Mandarin	difficult	Exp	1	4	0	1	3	0	0.699962143	0.483289363
7	2	7	Mandarin	difficult	Exp	1	1	1	1	2	0	0.900134975	0.767470038
7	1	7	Mandarin	difficult	Exp	1	4	0	1	3	0	0.583356719	4.45029621
7	4	8	English	difficult	Exp	1	2	0	1	4	0	0.683477149	0.850438956
7	5	8	English	difficult	Exp	1	1	1	1	1	1	0.599950502	0.750579796
7	6	8	English	difficult	Exp	1	2	0	1	3	0	0.950031566	1.200190132
7	9	5	Silence	difficult	Exp	1	4	0	1	1	1	0.550126633	0.500745839
7	7	5	Silence	difficult	Exp	1	3	0	1	2	0	0.49869174	1.050413855
7	8	5	Silence	difficult	Exp	1	3	0	1	2	0	0.633529829	0.433278411
7	10	6	Noise	difficult	Exp	1	3	0	1	2	0	0.700367099	0.833366909
7	11	6	Noise	difficult	Exp	1	2	0	1	2	0	0.916876256	0.483883454
7	12	6	Noise	difficult	Exp	1	4	0	1	2	0	0.63342925	0.616752775
7	25	1	Silence	easy	Prac	1	2	0	1	1	1	0.683663939	0.717019822
7	26	1	Silence	easy	Prac	1	1	1	1	2	0	0.566429529	0.600763931
7	15	3	Mandarin	easy	Exp	1	2	0	1	1	1	0.633460626	0.417543215
7	14	3	Mandarin	easy	Exp	1	2	0	1	2	0	1.64967086	0.467471182
7	13	3	Mandarin	easy	Exp	1	1	1	1	2	0	0.766758361	0.616980031
7	17	4	English	easy	Exp	1	1	1	1	2	0	0.583509493	0.51734754
7	16	4	English	easy	Exp	1	2	0	1	1	1	0.600051961	0.600548699
7	18	4	English	easy	Exp	1	2	0	1	1	1	5.116763771	0.983619984
7	20	1	Silence	easy	Exp	1	2	0	1	2	0	0.649626875	0.667255479
7	21	1	Silence	easy	Exp	1	1	1	1	2	0	1.883443545	1.183969635
7	19	1	Silence	easy	Exp	1	2	0	1	1	1	0.550143933	0.40058025
7	22	2	Noise	easy	Exp	1	1	1	1	2	0	0.51667281	0.35011596
7	24	2	Noise	easy	Exp	1	2	0	1	1	1	0.73336641	0.150812271
7	23	2	Noise	easy	Exp	1	1	1	1	2	0	0.817016508	0.450287412
8	27	5	Silence	difficult	Prac	1	3	0	1	2	0	0.450221142	0.416769372
8	28	5	Silence	difficult	Prac	1	3	0	1	2	0	0.607174013	0.472445593
8	2	8	English	difficult	Exp	1	1	1	1	2	0	0.683458383	0.649954124
8	1	8	English	difficult	Exp	1	4	0	1	3	0	0.816775178	0.666581043
8	3	8	English	difficult	Exp	1	4	0	1	3	0	0.583407741	0.401264071
8	4	5	Silence	difficult	Exp	1	2	0	1	4	0	0.633581438	0.533454263
8	5	5	Silence	difficult	Exp	1	1	1	1	1	1	0.549943655	0.91701994
8	6	5	Silence	difficult	Exp	1	2	0	1	3	0	0.516798607	0.483530694
8	9	6	Noise	difficult	Exp	1	4	0	1	1	1	0.566378799	0.417120665
8	7	6	Noise	difficult	Exp	1	3	0	1	2	0	0.666944358	0.383064834
8	8	6	Noise	difficult	Exp	1	3	0	1	2	0	0.566889612	0.617435422
