"subject","list","music","song_number","music_set","snippet_file","Pool","familiarity","preference","pleasantness","offensiveness","distraction","actual_artist","actual_song_name","artist_name","song_name"
12,"A","instrumental","1","B","static/B1_instrumental.mp3","Prolific",1,8,9,1,6,"The Four Owls","Old Earth",NA,NA
12,"A","instrumental","2","B","static/B2_instrumental.mp3","Prolific",1,2,2,1,8,"Aesop Rock","Molecules",NA,NA
12,"A","instrumental","3","B","static/B3_instrumental.mp3","Prolific",1,1,1,1,10,"Atmosphere","Just for show",NA,NA
13,"A","lyrical","1","A","static/A1_lyrical.mp3","Prolific",1,4,4,1,8,"Sa-Roc","Starseed",NA,NA
13,"A","lyrical","2","A","static/A2_lyrical.mp3","Prolific",1,1,1,4,5,"Johnie Bee ft. Rasco","In My Prime",NA,NA
13,"A","lyrical","3","A","static/A3_lyrical.mp3","Prolific",1,1,1,1,3,"Evidence","Throw It All Away",NA,NA
13,"A","instrumental","1","B","static/B1_instrumental.mp3","Prolific",1,1,1,1,8,"The Four Owls","Old Earth",NA,NA
13,"A","instrumental","2","B","static/B2_instrumental.mp3","Prolific",1,1,1,1,8,"Aesop Rock","Molecules",NA,NA
13,"A","instrumental","3","B","static/B3_instrumental.mp3","Prolific",1,1,1,1,5,"Atmosphere","Just for show",NA,NA
14,"A","lyrical","1","A","static/A1_lyrical.mp3","Prolific",1,7,7,1,7,"Sa-Roc","Starseed",NA,NA
14,"A","lyrical","2","A","static/A2_lyrical.mp3","Prolific",1,5,5,1,5,"Johnie Bee ft. Rasco","In My Prime",NA,NA
14,"A","lyrical","3","A","static/A3_lyrical.mp3","Prolific",1,8,8,1,4,"Evidence","Throw It All Away",NA,NA
14,"A","instrumental","1","B","static/B1_instrumental.mp3","Prolific",1,8,8,1,2,"The Four Owls","Old Earth",NA,NA
14,"A","instrumental","2","B","static/B2_instrumental.mp3","Prolific",1,2,3,1,4,"Aesop Rock","Molecules",NA,NA
14,"A","instrumental","3","B","static/B3_instrumental.mp3","Prolific",1,4,5,1,4,"Atmosphere","Just for show",NA,NA
15,"A","lyrical","1","A","static/A1_lyrical.mp3","Prolific",5,3,3,3,8,"Sa-Roc","Starseed",NA,NA
15,"A","lyrical","2","A","static/A2_lyrical.mp3","Prolific",4,7,7,6,9,"Johnie Bee ft. Rasco","In My Prime",NA,NA
15,"A","lyrical","3","A","static/A3_lyrical.mp3","Prolific",7,8,8,2,3,"Evidence","Throw It All Away",NA,NA
15,"A","instrumental","1","B","static/B1_instrumental.mp3","Prolific",7,9,9,1,1,"The Four Owls","Old Earth",NA,NA
15,"A","instrumental","2","B","static/B2_instrumental.mp3","Prolific",1,1,1,3,10,"Aesop Rock","Molecules",NA,NA
15,"A","instrumental","3","B","static/B3_instrumental.mp3","Prolific",4,4,4,2,8,"Atmosphere","Just for show",NA,NA
16,"A","lyrical","1","A","static/A1_lyrical.mp3","Prolific",10,10,10,2,10,"Sa-Roc","Starseed",NA,NA
16,"A","lyrical","2","A","static/A2_lyrical.mp3","Prolific",1,1,1,9,10,"Johnie Bee ft. Rasco","In My Prime",NA,NA
16,"A","lyrical","3","A","static/A3_lyrical.mp3","Prolific",1,1,1,7,10,"Evidence","Throw It All Away",NA,NA
16,"A","instrumental","1","B","static/B1_instrumental.mp3","Prolific",10,4,4,1,5,"The Four Owls","Old Earth",NA,NA
16,"A","instrumental","2","B","static/B2_instrumental.mp3","Prolific",1,1,1,7,10,"Aesop Rock","Molecules",NA,NA
16,"A","instrumental","3","B","static/B3_instrumental.mp3","Prolific",1,6,6,1,5,"Atmosphere","Just for show",NA,NA
