subject;list;music;song_number;music_set;snippet_file;Pool;familiarity;preference;pleasantness;offensiveness;distraction;actual_artist;artist_name;accuracy_artist;actual_song_name;song_name;accuracy_song
12;A;lyrical;2;A;static/A2_lyrical.mp3;Prolific;1;1;1;10;10;Johnie Bee ft. Rasco;NA;0;In My Prime;NA;0
12;A;lyrical;3;A;static/A3_lyrical.mp3;Prolific;1;2;2;1;9;Evidence;NA;0;Throw It All Away;NA;0
12;A;instrumental;1;B;static/B1_instrumental.mp3;Prolific;1;8;9;1;6;The Four Owls;NA;0;Old Earth;NA;0
12;A;instrumental;2;B;static/B2_instrumental.mp3;Prolific;1;2;2;1;8;Aesop Rock;NA;0;Molecules;NA;0
12;A;instrumental;3;B;static/B3_instrumental.mp3;Prolific;1;1;1;1;10;Atmosphere;NA;0;Just for show;NA;0
13;A;lyrical;1;A;static/A1_lyrical.mp3;Prolific;1;4;4;1;8;Sa-Roc;NA;0;Starseed;NA;0
13;A;lyrical;2;A;static/A2_lyrical.mp3;Prolific;1;1;1;4;5;Johnie Bee ft. Rasco;NA;0;In My Prime;NA;0
13;A;lyrical;3;A;static/A3_lyrical.mp3;Prolific;1;1;1;1;3;Evidence;NA;0;Throw It All Away;NA;0
13;A;instrumental;1;B;static/B1_instrumental.mp3;Prolific;1;1;1;1;8;The Four Owls;NA;0;Old Earth;NA;0
13;A;instrumental;2;B;static/B2_instrumental.mp3;Prolific;1;1;1;1;8;Aesop Rock;NA;0;Molecules;NA;0
13;A;instrumental;3;B;static/B3_instrumental.mp3;Prolific;1;1;1;1;5;Atmosphere;NA;0;Just for show;NA;0
14;A;lyrical;1;A;static/A1_lyrical.mp3;Prolific;1;7;7;1;7;Sa-Roc;NA;0;Starseed;NA;0
14;A;lyrical;2;A;static/A2_lyrical.mp3;Prolific;1;5;5;1;5;Johnie Bee ft. Rasco;NA;0;In My Prime;NA;0
14;A;lyrical;3;A;static/A3_lyrical.mp3;Prolific;1;8;8;1;4;Evidence;NA;0;Throw It All Away;NA;0
14;A;instrumental;1;B;static/B1_instrumental.mp3;Prolific;1;8;8;1;2;The Four Owls;NA;0;Old Earth;NA;0
14;A;instrumental;2;B;static/B2_instrumental.mp3;Prolific;1;2;3;1;4;Aesop Rock;NA;0;Molecules;NA;0
14;A;instrumental;3;B;static/B3_instrumental.mp3;Prolific;1;4;5;1;4;Atmosphere;NA;0;Just for show;NA;0
15;A;lyrical;1;A;static/A1_lyrical.mp3;Prolific;5;3;3;3;8;Sa-Roc;NA;0;Starseed;NA;0
15;A;lyrical;2;A;static/A2_lyrical.mp3;Prolific;4;7;7;6;9;Johnie Bee ft. Rasco;NA;0;In My Prime;NA;0
15;A;lyrical;3;A;static/A3_lyrical.mp3;Prolific;7;8;8;2;3;Evidence;NA;0;Throw It All Away;NA;0
15;A;instrumental;1;B;static/B1_instrumental.mp3;Prolific;7;9;9;1;1;The Four Owls;NA;0;Old Earth;NA;0
15;A;instrumental;2;B;static/B2_instrumental.mp3;Prolific;1;1;1;3;10;Aesop Rock;NA;0;Molecules;NA;0
15;A;instrumental;3;B;static/B3_instrumental.mp3;Prolific;4;4;4;2;8;Atmosphere;NA;0;Just for show;NA;0
16;A;lyrical;1;A;static/A1_lyrical.mp3;Prolific;10;10;10;2;10;Sa-Roc;NA;0;Starseed;NA;0
16;A;lyrical;2;A;static/A2_lyrical.mp3;Prolific;1;1;1;9;10;Johnie Bee ft. Rasco;NA;0;In My Prime;NA;0
16;A;lyrical;3;A;static/A3_lyrical.mp3;Prolific;1;1;1;7;10;Evidence;NA;0;Throw It All Away;NA;0
16;A;instrumental;1;B;static/B1_instrumental.mp3;Prolific;10;4;4;1;5;The Four Owls;NA;0;Old Earth;NA;0
16;A;instrumental;2;B;static/B2_instrumental.mp3;Prolific;1;1;1;7;10;Aesop Rock;NA;0;Molecules;NA;0
16;A;instrumental;3;B;static/B3_instrumental.mp3;Prolific;1;6;6;1;5;Atmosphere;NA;0;Just for show;NA;0
17;A;lyrical;1;A;static/A1_lyrical.mp3;Prolific;1;5;5;3;4;Sa-Roc;NA;0;Starseed;NA;0
17;A;lyrical;2;A;static/A2_lyrical.mp3;Prolific;1;1;2;5;8;Johnie Bee ft. Rasco;NA;0;In My Prime;NA;0
17;A;lyrical;3;A;static/A3_lyrical.mp3;Prolific;1;1;2;2;6;Evidence;NA;0;Throw It All Away;NA;0
17;A;instrumental;1;B;static/B1_instrumental.mp3;Prolific;1;4;6;1;3;The Four Owls;NA;0;Old Earth;NA;0
17;A;instrumental;2;B;static/B2_instrumental.mp3;Prolific;1;4;2;1;4;Aesop Rock;NA;0;Molecules;NA;0
17;A;instrumental;3;B;static/B3_instrumental.mp3;Prolific;1;7;7;1;3;Atmosphere;NA;0;Just for show;NA;0
18;A;lyrical;1;A;static/A1_lyrical.mp3;Prolific;2;2;1;4;8;Sa-Roc;NA;0;Starseed;NA;0
18;A;lyrical;2;A;static/A2_lyrical.mp3;Prolific;4;5;1;2;4;Johnie Bee ft. Rasco;NA;0;In My Prime;NA;0
18;A;lyrical;3;A;static/A3_lyrical.mp3;Prolific;2;4;5;1;3;Evidence;NA;0;Throw It All Away;NA;0
18;A;instrumental;1;B;static/B1_instrumental.mp3;Prolific;1;6;5;1;2;The Four Owls;NA;0;Old Earth;NA;0
18;A;instrumental;2;B;static/B2_instrumental.mp3;Prolific;3;2;3;1;4;Aesop Rock;NA;0;Molecules;NA;0
18;A;instrumental;3;B;static/B3_instrumental.mp3;Prolific;3;4;4;1;3;Atmosphere;NA;0;Just for show;NA;0
19;A;lyrical;1;A;static/A1_lyrical.mp3;Prolific;4;6;7;3;5;Sa-Roc;NA;0;Starseed;;0
19;A;lyrical;2;A;static/A2_lyrical.mp3;Prolific;3;4;4;2;4;Johnie Bee ft. Rasco;NA;0;In My Prime;;0
19;A;lyrical;3;A;static/A3_lyrical.mp3;Prolific;8;5;5;1;4;Evidence;NA;0;Throw It All Away;Throw it all away;1
19;A;instrumental;1;B;static/B1_instrumental.mp3;Prolific;5;7;7;1;2;The Four Owls;NA;0;Old Earth;;0
19;A;instrumental;2;B;static/B2_instrumental.mp3;Prolific;2;2;1;1;7;Aesop Rock;NA;0;Molecules;;0
19;A;instrumental;3;B;static/B3_instrumental.mp3;Prolific;3;3;2;1;4;Atmosphere;NA;0;Just for show;;0
20;A;lyrical;1;A;static/A1_lyrical.mp3;Prolific;6;10;8;1;8;Sa-Roc;NA;0;Starseed;NA;0
20;A;lyrical;2;A;static/A2_lyrical.mp3;Prolific;5;10;10;1;6;Johnie Bee ft. Rasco;NA;0;In My Prime;NA;0
20;A;lyrical;3;A;static/A3_lyrical.mp3;Prolific;5;10;10;1;5;Evidence;NA;0;Throw It All Away;NA;0
20;A;instrumental;1;B;static/B1_instrumental.mp3;Prolific;10;10;10;1;2;The Four Owls;NA;0;Old Earth;NA;0
20;A;instrumental;2;B;static/B2_instrumental.mp3;Prolific;1;10;10;1;1;Aesop Rock;NA;0;Molecules;NA;0
20;A;instrumental;3;B;static/B3_instrumental.mp3;Prolific;10;10;10;1;1;Atmosphere;NA;0;Just for show;NA;0
21;A;lyrical;1;A;static/A1_lyrical.mp3;Prolific;10;4;4;2;10;Sa-Roc;NA;0;Starseed;NA;0
21;A;lyrical;2;A;static/A2_lyrical.mp3;Prolific;1;6;4;5;10;Johnie Bee ft. Rasco;NA;0;In My Prime;NA;0
21;A;lyrical;3;A;static/A3_lyrical.mp3;Prolific;1;6;5;4;8;Evidence;NA;0;Throw It All Away;NA;0
21;A;instrumental;1;B;static/B1_instrumental.mp3;Prolific;1;8;8;1;2;The Four Owls;NA;0;Old Earth;NA;0
21;A;instrumental;2;B;static/B2_instrumental.mp3;Prolific;1;3;2;1;1;Aesop Rock;NA;0;Molecules;NA;0
21;A;instrumental;3;B;static/B3_instrumental.mp3;Prolific;1;3;3;2;3;Atmosphere;NA;0;Just for show;NA;0
22;A;lyrical;1;A;static/A1_lyrical.mp3;Prolific;1;10;10;NA;10;Sa-Roc;NA;0;Starseed;NA;0
22;A;lyrical;2;A;static/A2_lyrical.mp3;Prolific;1;2;2;2;10;Johnie Bee ft. Rasco;NA;0;In My Prime;NA;0
22;A;lyrical;3;A;static/A3_lyrical.mp3;Prolific;1;3;3;1;10;Evidence;NA;0;Throw It All Away;NA;0
22;A;instrumental;1;B;static/B1_instrumental.mp3;Prolific;1;8;10;1;4;The Four Owls;NA;0;Old Earth;NA;0
22;A;instrumental;2;B;static/B2_instrumental.mp3;Prolific;1;3;3;1;10;Aesop Rock;NA;0;Molecules;NA;0
22;A;instrumental;3;B;static/B3_instrumental.mp3;Prolific;1;4;6;1;5;Atmosphere;NA;0;Just for show;NA;0
23;A;lyrical;1;A;static/A1_lyrical.mp3;Prolific;4;4;3;1;6;Sa-Roc;NA;0;Starseed;NA;0
23;A;lyrical;2;A;static/A2_lyrical.mp3;Prolific;3;3;2;1;6;Johnie Bee ft. Rasco;NA;0;In My Prime;NA;0
23;A;lyrical;3;A;static/A3_lyrical.mp3;Prolific;4;2;NA;1;5;Evidence;NA;0;Throw It All Away;NA;0
23;A;instrumental;1;B;static/B1_instrumental.mp3;Prolific;8;5;7;1;7;The Four Owls;NA;0;Old Earth;NA;0
23;A;instrumental;2;B;static/B2_instrumental.mp3;Prolific;3;3;3;1;6;Aesop Rock;NA;0;Molecules;NA;0
23;A;instrumental;3;B;static/B3_instrumental.mp3;Prolific;5;5;6;1;6;Atmosphere;NA;0;Just for show;NA;0
24;A;lyrical;1;A;static/A1_lyrical.mp3;Prolific;8;6;6;3;7;Sa-Roc;NA;0;Starseed;NA;0
24;A;lyrical;2;A;static/A2_lyrical.mp3;Prolific;7;5;5;4;7;Johnie Bee ft. Rasco;NA;0;In My Prime;NA;0
24;A;lyrical;3;A;static/A3_lyrical.mp3;Prolific;4;5;5;3;7;Evidence;NA;0;Throw It All Away;NA;0
24;A;instrumental;1;B;static/B1_instrumental.mp3;Prolific;8;7;7;3;5;The Four Owls;NA;0;Old Earth;NA;0
24;A;instrumental;2;B;static/B2_instrumental.mp3;Prolific;1;5;5;3;7;Aesop Rock;NA;0;Molecules;NA;0
24;A;instrumental;3;B;static/B3_instrumental.mp3;Prolific;1;4;4;3;7;Atmosphere;NA;0;Just for show;NA;0
25;A;lyrical;1;A;static/A1_lyrical.mp3;Prolific;1;7;4;5;9;Sa-Roc;NA;0;Starseed;NA;0
25;A;lyrical;2;A;static/A2_lyrical.mp3;Prolific;1;7;4;6;8;Johnie Bee ft. Rasco;NA;0;In My Prime;NA;0
25;A;lyrical;3;A;static/A3_lyrical.mp3;Prolific;1;5;5;4;6;Evidence;NA;0;Throw It All Away;NA;0
25;A;instrumental;1;B;static/B1_instrumental.mp3;Prolific;1;7;7;1;5;The Four Owls;NA;0;Old Earth;NA;0
25;A;instrumental;2;B;static/B2_instrumental.mp3;Prolific;1;2;2;1;7;Aesop Rock;NA;0;Molecules;NA;0
25;A;instrumental;3;B;static/B3_instrumental.mp3;Prolific;1;3;3;1;5;Atmosphere;NA;0;Just for show;NA;0
26;A;lyrical;1;A;static/A1_lyrical.mp3;Prolific;1;6;7;2;3;Sa-Roc;Nicki Minaj;0;Starseed;NA;0
26;A;lyrical;2;A;static/A2_lyrical.mp3;Prolific;1;8;7;2;4;Johnie Bee ft. Rasco;;0;In My Prime;NA;0
26;A;lyrical;3;A;static/A3_lyrical.mp3;Prolific;2;8;7;1;2;Evidence;Andre 3000;0;Throw It All Away;NA;0
26;A;instrumental;1;B;static/B1_instrumental.mp3;Prolific;1;7;8;1;1;The Four Owls;;0;Old Earth;NA;0
26;A;instrumental;2;B;static/B2_instrumental.mp3;Prolific;1;3;5;1;3;Aesop Rock;;0;Molecules;NA;0
26;A;instrumental;3;B;static/B3_instrumental.mp3;Prolific;1;7;6;1;NA;Atmosphere;;0;Just for show;NA;0
27;B;lyrical;1;A;static/A1_lyrical.mp3;Prolific;1;7;8;1;8;Sa-Roc;NA;0;Starseed;NA;0
27;B;lyrical;2;A;static/A2_lyrical.mp3;Prolific;1;4;5;1;4;Johnie Bee ft. Rasco;NA;0;In My Prime;NA;0
27;B;lyrical;3;A;static/A3_lyrical.mp3;Prolific;1;2;2;1;5;Evidence;NA;0;Throw It All Away;NA;0
27;B;instrumental;1;B;static/B1_instrumental.mp3;Prolific;1;2;5;1;4;The Four Owls;NA;0;Old Earth;NA;0
27;B;instrumental;2;B;static/B2_instrumental.mp3;Prolific;1;2;2;1;2;Aesop Rock;NA;0;Molecules;NA;0
27;B;instrumental;3;B;static/B3_instrumental.mp3;Prolific;1;2;4;1;2;Atmosphere;NA;0;Just for show;NA;0
28;B;lyrical;1;A;static/A1_lyrical.mp3;Prolific;10;9;2;2;9;Sa-Roc;NA;0;Starseed;NA;0
28;B;lyrical;2;A;static/A2_lyrical.mp3;Prolific;6;3;2;2;2;Johnie Bee ft. Rasco;NA;0;In My Prime;NA;0
28;B;lyrical;3;A;static/A3_lyrical.mp3;Prolific;5;5;4;4;4;Evidence;NA;0;Throw It All Away;NA;0
28;B;instrumental;1;B;static/B1_instrumental.mp3;Prolific;7;4;5;2;4;The Four Owls;NA;0;Old Earth;NA;0
