"subject","item","Provo_ID","list","word","word_ID","ended_on","duration","sound","Pool","log_duration"
2,13,51,"A",48,"strangling","response",438.207999995851,"silence","University pool",6.08269368348913
2,13,51,"A",49,"the","response",708.265000006009,"silence","University pool",6.56281831745707
2,13,51,"A",50,"life","response",695.745000015071,"silence","University pool",6.54498321391244
2,13,51,"A",51,"out","response",346.859000009135,"silence","University pool",5.84891835733707
2,13,51,"A",52,"of","response",284.200000012876,"silence","University pool",5.6496782157083
2,13,51,"A",53,"companies.","response",480.249000013224,"silence","University pool",6.1743047194252
2,7,15,"A",1,"Anderson,","response",675.765000028943,"silence","University pool",6.51584538251129
2,7,15,"A",2,"considered","response",568.239000011934,"silence","University pool",6.34254210488921
2,7,15,"A",3,"a","response",368.857000004908,"silence","University pool",5.91040903506784
2,7,15,"A",4,"key","response",337.626000014017,"silence","University pool",5.82193877401589
2,7,15,"A",5,"witness","response",427.609999980428,"silence","University pool",6.05821156517404
2,7,15,"A",6,"by","response",394.17099997442,"silence","University pool",5.97678482523016
2,7,15,"A",7,"the","response",361.574000007997,"silence","University pool",5.89046672330015
2,7,15,"A",8,"prosecution,","response",530.272999999463,"silence","University pool",6.27339196826922
2,7,15,"A",9,"vowed","response",3132.22399997205,"silence","University pool",8.04949857434001
2,7,15,"A",10,"he","response",502.241999999504,"silence","University pool",6.21908207524465
2,7,15,"A",11,"wouldn't","response",265.500000018277,"silence","University pool",5.58161484075083
2,7,15,"A",12,"testify","response",350.311999983795,"silence","University pool",5.85882418592214
2,7,15,"A",13,"when","response",335.621999985946,"silence","University pool",5.81598552663382
2,7,15,"A",14,"served","response",369.535999988031,"silence","University pool",5.91224816456803
2,7,15,"A",15,"a","response",706.216999982425,"silence","University pool",6.55992255568037
2,7,15,"A",16,"subpoena","response",437.882000018377,"silence","University pool",6.0819494677293
2,7,15,"A",17,"last","response",403.667999972473,"silence","University pool",6.00059275786666
2,7,15,"A",18,"week.","response",314.856999978714,"silence","University pool",5.75211856742928
2,7,15,"A",19,"His","response",1973.5520000197,"silence","University pool",7.58759024389167
2,7,15,"A",20,"lawyers","response",413.707999972627,"silence","University pool",6.02516041089854
2,7,15,"A",21,"said","response",372.496000025596,"silence","University pool",5.92022629957564
2,7,15,"A",22,"he","response",332.889999994833,"silence","University pool",5.80781210506351
2,7,15,"A",23,"was","response",310.824999983131,"silence","University pool",5.73923005278473
2,7,15,"A",24,"prepared","response",338.200999986031,"silence","University pool",5.82364039324908
2,7,15,"A",25,"for","response",364.203000011214,"silence","University pool",5.89771140452266
2,7,15,"A",26,"a","response",284.979000017105,"silence","University pool",5.65241549340333
2,7,15,"A",27,"third","response",384.918999984395,"silence","University pool",5.95303292250185
2,7,15,"A",28,"prison","response",360.881999973673,"silence","University pool",5.88855103502026
2,7,15,"A",29,"stay","response",1410.23600000021,"silence","University pool",7.25151234525311
2,7,15,"A",30,"to","response",392.97199999966,"silence","University pool",5.97373836251088
2,7,15,"A",31,"maintain","response",504.38000002451,"silence","University pool",6.22332995228266
2,7,15,"A",32,"his","response",435.594999976689,"silence","University pool",6.07671291251884
2,7,15,"A",33,"silence.","response",3569.74399999552,"silence","University pool",8.18024916351777
2,7,15,"A",34,"Anderson","response",633.612000004679,"silence","University pool",6.45143677972219
2,7,15,"A",35,"was","response",279.706000020145,"silence","University pool",5.63373905160509
2,7,15,"A",36,"released","response",315.588999983156,"silence","University pool",5.75444073406504
2,7,15,"A",37,"July","response",350.834999999148,"silence","University pool",5.86031602746854
2,7,15,"A",38,"20","response",423.550999977742,"silence","University pool",6.04867393181856
2,7,15,"A",39,"after","response",870.323999991175,"silence","University pool",6.76886555610279
2,7,15,"A",40,"a","response",450.821999975888,"silence","University pool",6.1110725830509
2,7,15,"A",41,"two-week","response",456.321000002674,"silence","University pool",6.12319650923394
2,7,15,"A",42,"stay","response",421.507000005397,"silence","University pool",6.0438363846715
2,7,15,"A",43,"for","response",364.294000014837,"silence","University pool",5.89796123397726
2,7,15,"A",44,"previously","response",476.828999981517,"silence","University pool",6.16715793601044
2,7,15,"A",45,"declining","response",465.666000028432,"silence","University pool",6.14346863900966
2,7,15,"A",46,"to","response",406.213000023097,"silence","University pool",6.00687765262998
2,7,15,"A",47,"testify","response",341.590999987209,"silence","University pool",5.83361411492568
2,7,15,"A",48,"before","response",423.659000003478,"silence","University pool",6.04892888637841
2,7,15,"A",49,"a","response",374.219000019075,"silence","University pool",5.92484118758859
