"","subject","item","sound","reading_time_minutes","number_of_words","wpm","Experiment"
"468",32,1,"lyrical",0.423516666666679,58,136.948565581831,"Experiment 1a"
"469",32,10,"lyrical",0.31238333333334,49,156.858560529261,"Experiment 1a"
"470",32,11,"instrumental",0.33310000000001,53,159.111377964571,"Experiment 1a"
"471",32,8,"instrumental",0.293866666666669,50,170.145190562612,"Experiment 1a"
"472",32,2,"instrumental",0.430433333333341,57,132.424688298611,"Experiment 1a"
"473",32,14,"instrumental",0.42405000000001,50,117.910623747197,"Experiment 1a"
"474",32,5,"instrumental",0.314133333333345,52,165.534804753814,"Experiment 1a"
"475",32,3,"silence",0.384200000000008,56,145.757418011449,"Experiment 1a"
"476",32,15,"silence",0.290066666666678,45,155.136750172368,"Experiment 1a"
"477",32,9,"silence",0.298016666666684,45,150.998266316193,"Experiment 1a"
"478",32,6,"silence",0.341133333333351,52,152.433066249748,"Experiment 1a"
"479",32,12,"silence",0.439683333333349,61,138.736211667483,"Experiment 1a"
"480",33,10,"lyrical",0.262220350001222,49,186.865740968508,"Experiment 1a"
"481",33,4,"lyrical",0.323285016667978,53,163.942024119331,"Experiment 1a"
"482",33,13,"lyrical",0.358281133334782,53,147.928526145629,"Experiment 1a"
"483",33,7,"lyrical",0.34983333333462,52,148.642210575918,"Experiment 1a"
"484",33,1,"lyrical",0.348172166667952,58,166.584252139011,"Experiment 1a"
"485",33,14,"instrumental",0.410473133334498,49,119.3744389601,"Experiment 1a"
"486",33,8,"instrumental",0.337420383334724,50,148.183104724884,"Experiment 1a"
"487",33,11,"instrumental",0.234317533334482,53,226.188792813655,"Experiment 1a"
"488",33,5,"instrumental",0.278244716667898,52,186.885848625349,"Experiment 1a"
"489",33,2,"instrumental",0.366733050001702,57,155.426406209464,"Experiment 1a"
"490",33,3,"silence",0.359876116667981,56,155.609103817426,"Experiment 1a"
"491",33,12,"silence",0.401264083334833,61,152.019586435547,"Experiment 1a"
"492",33,15,"silence",0.250040616667587,45,179.970760749741,"Experiment 1a"
"493",33,9,"silence",0.258316100001007,45,174.205169557083,"Experiment 1a"
"494",33,6,"silence",0.270191183334556,52,192.456316887337,"Experiment 1a"
"495",34,1,"lyrical",0.442051016669126,58,131.2065752886,"Experiment 1a"
"496",34,10,"lyrical",0.341606150001594,49,143.440040525533,"Experiment 1a"
"497",34,7,"lyrical",0.376545883335766,52,138.097380163446,"Experiment 1a"
"498",34,4,"lyrical",0.396363266668875,53,133.715721049086,"Experiment 1a"
"499",34,13,"lyrical",0.422245866668889,53,125.519286708757,"Experiment 1a"
"500",34,11,"instrumental",0.352941166668649,53,150.16667083712,"Experiment 1a"
"501",34,14,"instrumental",0.350312316669305,50,142.729780315432,"Experiment 1a"
"502",34,8,"instrumental",0.339309966667928,50,147.357887806854,"Experiment 1a"
"503",34,5,"instrumental",0.401779016668569,52,129.424379678084,"Experiment 1a"
"504",34,2,"instrumental",0.392956000001185,57,145.054408126681,"Experiment 1a"
"505",34,12,"silence",0.443463333334797,61,137.553649681218,"Experiment 1a"
"506",34,9,"silence",0.280067583335146,45,160.675503619961,"Experiment 1a"
"507",34,3,"silence",0.351657250001417,56,159.245970329843,"Experiment 1a"
"508",34,15,"silence",0.296734950001751,45,151.650488086201,"Experiment 1a"
